TrackURI,Genre,track,Preview,Singers,Artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6lrRIfQDcikJ5y5DtyZPuJ,Hip-Hop,Can't Let You Go (feat. Mike Shorey & Lil' Mo),https://p.scdn.co/mp3-preview/56a28e7695a6077c3f965f9cc6d8b5470cb0b41f?cid=b82fb22d072d4120850c99225ff01644,Fabolous,spotify:artist:0YWxKQj2Go9CGHCp77UOyy,0.646,0.6,-6.569,0.458,0.231,0,0.0794,0.811,192.082
6lrRIfQDcikJ5y5DtyZPuJ,Blues,Can't Let You Go (feat. Mike Shorey & Lil' Mo),https://p.scdn.co/mp3-preview/56a28e7695a6077c3f965f9cc6d8b5470cb0b41f?cid=b82fb22d072d4120850c99225ff01644,Fabolous,spotify:artist:0YWxKQj2Go9CGHCp77UOyy,0.646,0.6,-6.569,0.458,0.231,0,0.0794,0.811,192.082
6lrRIfQDcikJ5y5DtyZPuJ,Rap,Can't Let You Go (feat. Mike Shorey & Lil' Mo),https://p.scdn.co/mp3-preview/56a28e7695a6077c3f965f9cc6d8b5470cb0b41f?cid=b82fb22d072d4120850c99225ff01644,Fabolous,spotify:artist:0YWxKQj2Go9CGHCp77UOyy,0.646,0.6,-6.569,0.458,0.231,0,0.0794,0.811,192.082
6lrRIfQDcikJ5y5DtyZPuJ,Blues,Can't Let You Go (feat. Mike Shorey & Lil' Mo),https://p.scdn.co/mp3-preview/56a28e7695a6077c3f965f9cc6d8b5470cb0b41f?cid=b82fb22d072d4120850c99225ff01644,Lil' Mo,spotify:artist:5wBDD4FNJvob5fAGkAIQ92,0.646,0.6,-6.569,0.458,0.231,0,0.0794,0.811,192.082
2tOZtdbkAMQASWokLvSlzj,Hip-Hop,Overnight Celebrity,https://p.scdn.co/mp3-preview/3945fdec557693fcec6418754fe92c45e5a9cce2?cid=b82fb22d072d4120850c99225ff01644,Twista,spotify:artist:6vbY3hOaCAhC7VjucswgdS,0.828,0.792,-5.435,0.179,0.182,0,0.281,0.777,134.199
2tOZtdbkAMQASWokLvSlzj,Blues,Overnight Celebrity,https://p.scdn.co/mp3-preview/3945fdec557693fcec6418754fe92c45e5a9cce2?cid=b82fb22d072d4120850c99225ff01644,Twista,spotify:artist:6vbY3hOaCAhC7VjucswgdS,0.828,0.792,-5.435,0.179,0.182,0,0.281,0.777,134.199
2tOZtdbkAMQASWokLvSlzj,Rap,Overnight Celebrity,https://p.scdn.co/mp3-preview/3945fdec557693fcec6418754fe92c45e5a9cce2?cid=b82fb22d072d4120850c99225ff01644,Twista,spotify:artist:6vbY3hOaCAhC7VjucswgdS,0.828,0.792,-5.435,0.179,0.182,0,0.281,0.777,134.199
1PmHkalaUHhh0fz23SBHDL,Hip-Hop,Let's Get Married,https://p.scdn.co/mp3-preview/40a77dfe01a671e27b1a94e99e79204d8c7cf1f3?cid=b82fb22d072d4120850c99225ff01644,Jagged Edge,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,0.761,0.627,-5.554,0.0538,0.175,0,0.128,0.891,109.821
1PmHkalaUHhh0fz23SBHDL,Blues,Let's Get Married,https://p.scdn.co/mp3-preview/40a77dfe01a671e27b1a94e99e79204d8c7cf1f3?cid=b82fb22d072d4120850c99225ff01644,Jagged Edge,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,0.761,0.627,-5.554,0.0538,0.175,0,0.128,0.891,109.821
1X1KDnhTnb28tpJlgOV3lD,Hip-Hop,Promise,https://p.scdn.co/mp3-preview/bed23734c1ff72fa0338e38beecbb4daaeef9811?cid=b82fb22d072d4120850c99225ff01644,Jagged Edge,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,0.751,0.568,-5.431,0.0872,0.136,0,0.0288,0.646,128.002
1X1KDnhTnb28tpJlgOV3lD,Blues,Promise,https://p.scdn.co/mp3-preview/bed23734c1ff72fa0338e38beecbb4daaeef9811?cid=b82fb22d072d4120850c99225ff01644,Jagged Edge,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,0.751,0.568,-5.431,0.0872,0.136,0,0.0288,0.646,128.002
06EmqZJolHpHSwNKLHVmqB,Blues,Dance With Me (feat. Beanie Sigel) - Remix,https://p.scdn.co/mp3-preview/0f9a6af80e4dcf51296e17e08b0321f691b1d358?cid=b82fb22d072d4120850c99225ff01644,112,spotify:artist:7urq0VfqxEYEEiZUkebXT4,0.867,0.68,-5.508,0.229,0.0679,0,0.0935,0.591,101.652
06EmqZJolHpHSwNKLHVmqB,Rap,Dance With Me (feat. Beanie Sigel) - Remix,https://p.scdn.co/mp3-preview/0f9a6af80e4dcf51296e17e08b0321f691b1d358?cid=b82fb22d072d4120850c99225ff01644,112,spotify:artist:7urq0VfqxEYEEiZUkebXT4,0.867,0.68,-5.508,0.229,0.0679,0,0.0935,0.591,101.652
06EmqZJolHpHSwNKLHVmqB,Hip-Hop,Dance With Me (feat. Beanie Sigel) - Remix,https://p.scdn.co/mp3-preview/0f9a6af80e4dcf51296e17e08b0321f691b1d358?cid=b82fb22d072d4120850c99225ff01644,Beanie Sigel,spotify:artist:0tCtGc5vt29zFZp6KXzN50,0.867,0.68,-5.508,0.229,0.0679,0,0.0935,0.591,101.652
06EmqZJolHpHSwNKLHVmqB,Rap,Dance With Me (feat. Beanie Sigel) - Remix,https://p.scdn.co/mp3-preview/0f9a6af80e4dcf51296e17e08b0321f691b1d358?cid=b82fb22d072d4120850c99225ff01644,Beanie Sigel,spotify:artist:0tCtGc5vt29zFZp6KXzN50,0.867,0.68,-5.508,0.229,0.0679,0,0.0935,0.591,101.652
1RKSWMAwBTuwhYkZlYskqw,Blues,Celebration (feat. Drake),https://p.scdn.co/mp3-preview/b677b038d989b397841d96f767712dbdf5656020?cid=b82fb22d072d4120850c99225ff01644,Tank,spotify:artist:4mwXUEKaW4ftbncf9Hi58l,0.691,0.675,-5.612,0.146,0.345,0,0.229,0.925,73.024
1RKSWMAwBTuwhYkZlYskqw,Hip-Hop,Celebration (feat. Drake),https://p.scdn.co/mp3-preview/b677b038d989b397841d96f767712dbdf5656020?cid=b82fb22d072d4120850c99225ff01644,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,0.691,0.675,-5.612,0.146,0.345,0,0.229,0.925,73.024
1RKSWMAwBTuwhYkZlYskqw,Rap,Celebration (feat. Drake),https://p.scdn.co/mp3-preview/b677b038d989b397841d96f767712dbdf5656020?cid=b82fb22d072d4120850c99225ff01644,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,0.691,0.675,-5.612,0.146,0.345,0,0.229,0.925,73.024
6bWD65sXguqUE4AaiEXqlw,Blues,Sex Music,https://p.scdn.co/mp3-preview/110931f9b2931c43e84e802672d1bdf074cc52a3?cid=b82fb22d072d4120850c99225ff01644,Tank,spotify:artist:4mwXUEKaW4ftbncf9Hi58l,0.464,0.598,-6.379,0.0323,0.011,0,0.179,0.234,170.092
6RYynPLHZLnpwjejfGWpQl,Hip-Hop,Signs of Love Makin',https://p.scdn.co/mp3-preview/f3e49f09507b55ac5c2587ac32dcaee413e71913?cid=b82fb22d072d4120850c99225ff01644,Tyrese,spotify:artist:08p7B5OtcUuVblvkQIlBhJ,0.687,0.363,-10.144,0.0857,0.215,3.08E-06,0.305,0.519,137.365
6RYynPLHZLnpwjejfGWpQl,Blues,Signs of Love Makin',https://p.scdn.co/mp3-preview/f3e49f09507b55ac5c2587ac32dcaee413e71913?cid=b82fb22d072d4120850c99225ff01644,Tyrese,spotify:artist:08p7B5OtcUuVblvkQIlBhJ,0.687,0.363,-10.144,0.0857,0.215,3.08E-06,0.305,0.519,137.365
3yNVfRQlUPViUh8O2V9SQn,Hip-Hop,Just a Friend,https://p.scdn.co/mp3-preview/666e175f61edc1a4e86d382f0de489302d8f9ddb?cid=b82fb22d072d4120850c99225ff01644,Biz Markie,spotify:artist:22282KfMxDo2PMjnBc82I4,0.862,0.663,-9.004,0.21,0.12,0,0.318,0.837,85.308
3yNVfRQlUPViUh8O2V9SQn,Rap,Just a Friend,https://p.scdn.co/mp3-preview/666e175f61edc1a4e86d382f0de489302d8f9ddb?cid=b82fb22d072d4120850c99225ff01644,Biz Markie,spotify:artist:22282KfMxDo2PMjnBc82I4,0.862,0.663,-9.004,0.21,0.12,0,0.318,0.837,85.308
1oFEgr3Ujpwuiu4bn53B25,Pop,Here I Stand,https://p.scdn.co/mp3-preview/4212fb4088d06964e029060bad7c34c5505d5c7e?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.535,0.528,-5.763,0.0461,0.322,0,0.24,0.261,119.796
1oFEgr3Ujpwuiu4bn53B25,Blues,Here I Stand,https://p.scdn.co/mp3-preview/4212fb4088d06964e029060bad7c34c5505d5c7e?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.535,0.528,-5.763,0.0461,0.322,0,0.24,0.261,119.796
7jcEP23vMjq4MyOkoWobpE,Hip-Hop,Down with the Clique,https://p.scdn.co/mp3-preview/7088b2c6baa5641999d1f8b44334cd4a3f3e0e1a?cid=b82fb22d072d4120850c99225ff01644,Aaliyah,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,0.681,0.545,-7.251,0.045,0.0322,0,0.155,0.765,84.106
7jcEP23vMjq4MyOkoWobpE,Pop,Down with the Clique,https://p.scdn.co/mp3-preview/7088b2c6baa5641999d1f8b44334cd4a3f3e0e1a?cid=b82fb22d072d4120850c99225ff01644,Aaliyah,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,0.681,0.545,-7.251,0.045,0.0322,0,0.155,0.765,84.106
7jcEP23vMjq4MyOkoWobpE,Blues,Down with the Clique,https://p.scdn.co/mp3-preview/7088b2c6baa5641999d1f8b44334cd4a3f3e0e1a?cid=b82fb22d072d4120850c99225ff01644,Aaliyah,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,0.681,0.545,-7.251,0.045,0.0322,0,0.155,0.765,84.106
0YImOCkIJ2PWhCXaURCZnY,Hip-Hop,I Know What You Want (feat. Flipmode Squad),https://p.scdn.co/mp3-preview/5537f3e8e73e10ba6cfbf9385b702570b655931a?cid=b82fb22d072d4120850c99225ff01644,Busta Rhymes,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996
0YImOCkIJ2PWhCXaURCZnY,Rap,I Know What You Want (feat. Flipmode Squad),https://p.scdn.co/mp3-preview/5537f3e8e73e10ba6cfbf9385b702570b655931a?cid=b82fb22d072d4120850c99225ff01644,Busta Rhymes,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996
0YImOCkIJ2PWhCXaURCZnY,Pop,I Know What You Want (feat. Flipmode Squad),https://p.scdn.co/mp3-preview/5537f3e8e73e10ba6cfbf9385b702570b655931a?cid=b82fb22d072d4120850c99225ff01644,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996
0YImOCkIJ2PWhCXaURCZnY,Blues,I Know What You Want (feat. Flipmode Squad),https://p.scdn.co/mp3-preview/5537f3e8e73e10ba6cfbf9385b702570b655931a?cid=b82fb22d072d4120850c99225ff01644,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996
41PWz0hAiU9FqsmjR9Wh62,Rap,Lovers And Friends,https://p.scdn.co/mp3-preview/ccc2133eb5acc7b31b19b94457959abd6f9b870c?cid=b82fb22d072d4120850c99225ff01644,Lil Jon & The East Side Boyz,spotify:artist:3ciRvbBIVz9fBoPbtSYq4x,0.675,0.501,-6.183,0.22,0.0541,0,0.429,0.532,139.861
