TrackURI,Genre,track,Preview,Singers,Artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6LGwYMXXgURfaequXipzHx,Blues,You Don't Know My Name,https://p.scdn.co/mp3-preview/50e5d96e2dfa636a507ab0d210052b51a1a52d6c?cid=b82fb22d072d4120850c99225ff01644,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,0.263,0.663,-8.264,0.19,0.589,0.00451,0.342,0.25,167.271
68vgtRHr7iZHpzGpon6Jlo,Pop,My Boo,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412
68vgtRHr7iZHpzGpon6Jlo,Blues,My Boo,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=b82fb22d072d4120850c99225ff01644,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412
68vgtRHr7iZHpzGpon6Jlo,Pop,My Boo,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=b82fb22d072d4120850c99225ff01644,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412
68vgtRHr7iZHpzGpon6Jlo,Blues,My Boo,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=b82fb22d072d4120850c99225ff01644,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412
1fgvJXlcZ7uIddMpqsqw0L,Pop,Love Don't Cost a Thing,https://p.scdn.co/mp3-preview/9ae63e254763bacd003c7042a22fec88527fff7f?cid=b82fb22d072d4120850c99225ff01644,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,0.786,0.842,-5.115,0.0707,0.00305,3.54E-06,0.473,0.685,97.577
5WphWTUIfRe7x8NZss79cY,Pop,Let Me Love You,https://p.scdn.co/mp3-preview/226409a6990091a53bbd125d0e0fa28b0440c829?cid=b82fb22d072d4120850c99225ff01644,Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,0.622,0.593,-8.352,0.0916,0.163,0,0.0979,0.607,94.364
5WphWTUIfRe7x8NZss79cY,Blues,Let Me Love You,https://p.scdn.co/mp3-preview/226409a6990091a53bbd125d0e0fa28b0440c829?cid=b82fb22d072d4120850c99225ff01644,Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,0.622,0.593,-8.352,0.0916,0.163,0,0.0979,0.607,94.364
5WphWTUIfRe7x8NZss79cY,Rap,Let Me Love You,https://p.scdn.co/mp3-preview/226409a6990091a53bbd125d0e0fa28b0440c829?cid=b82fb22d072d4120850c99225ff01644,Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,0.622,0.593,-8.352,0.0916,0.163,0,0.0979,0.607,94.364
0I3q5fE6wg7LIfHGngUTnV,Hip-Hop,Ms. Jackson,https://p.scdn.co/mp3-preview/07495099ccc8efb86eec89db4a3a95e03385921d?cid=b82fb22d072d4120850c99225ff01644,OutKast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,0.843,0.806,-5.946,0.269,0.143,0,0.0771,0.613,94.948
