,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,Genre
228,0.722,0.812,-3.352,0.0205,2.51e-05,0.131,0.657,124.909,EDM
229,0.713,0.368,-12.845,0.612,0.323,0.0886,0.22,124.989,EDM
230,0.674,0.731,-8.944,0.0116,0.298,0.0836,0.0882,125.033,EDM
231,0.483,0.787,-5.244,0.112,0.0,0.257,0.58,122.058,EDM
232,0.483,0.787,-5.244,0.112,0.0,0.257,0.58,122.058,EDM
233,0.674,0.587,-9.21,0.343,7.9e-05,0.189,0.444,94.01,EDM
234,0.725,0.762,-8.247,0.00774,0.0165,0.31,0.751,124.001,EDM
235,0.535,0.844,-5.458,0.119,0.0,0.106,0.266,126.046,EDM
236,0.548,0.511,-9.043,0.164,0.0,0.213,0.193,140.973,EDM
237,0.715,0.88,-5.151,0.0734,0.000173,0.369,0.773,103.063,EDM
238,0.617,0.675,-6.695,0.0938,9.45e-05,0.0945,0.224,122.009,EDM
239,0.707,0.882,-7.46,0.0606,0.0132,0.105,0.208,125.005,EDM
240,0.569,0.789,-4.607,0.564,0.0,0.294,0.603,160.014,EDM
241,0.716,0.814,-5.276,0.0114,0.0,0.258,0.528,119.986,EDM
242,0.805,0.501,-7.395,0.0135,0.0385,0.0996,0.387,122.029,EDM
243,0.768,0.691,-6.712,0.0766,3.85e-05,0.0645,0.252,121.896,EDM
244,0.815,0.817,-5.902,0.0366,0.00275,0.376,0.572,127.998,EDM
245,0.743,0.766,-5.401,0.00287,0.456,0.0917,0.625,124.993,EDM
246,0.604,0.688,-7.411,0.0945,0.0,0.14,0.349,145.072,EDM
247,0.74,0.745,-3.848,0.255,0.000186,0.094,0.352,126.015,EDM
248,0.595,0.752,-5.232,0.58,0.0,0.105,0.758,199.971,EDM
249,0.78,0.722,-4.873,0.0376,5.51e-05,0.097,0.674,120.026,EDM
250,0.654,0.803,-5.137,0.254,0.000993,0.579,0.517,119.991,EDM
251,0.775,0.573,-4.933,0.495,0.0,0.126,0.667,101.925,EDM
252,0.741,0.74,-6.503,0.0196,0.0003,0.142,0.342,97.982,EDM
253,0.636,0.856,-4.454,0.0114,5.49e-05,0.203,0.316,125.0,EDM
254,0.839,0.644,-5.159,0.161,0.762,0.086,0.102,104.98,EDM
255,0.927,0.573,-5.804,0.0339,0.000179,0.1,0.767,114.994,EDM
256,0.706,0.524,-8.804,0.127,0.00129,0.109,0.296,111.991,EDM
257,0.766,0.698,-7.549,0.329,0.0,0.0835,0.204,123.926,EDM
258,0.626,0.925,-6.158,0.0286,0.0104,0.138,0.536,124.99,EDM
259,0.777,0.663,-6.117,0.146,1.52e-05,0.174,0.614,118.016,EDM
260,0.735,0.861,-3.751,0.053,1.46e-05,0.104,0.458,114.043,EDM
261,0.354,0.272,-13.642,0.907,0.612,0.0848,0.263,90.566,Ghazal
262,0.36,0.627,-8.877,0.649,0.00155,0.399,0.484,146.691,Ghazal
263,0.283,0.328,-14.536,0.959,0.542,0.666,0.372,92.772,Ghazal
264,0.403,0.439,-15.154,0.073,0.00069,0.0828,0.325,84.822,Ghazal
265,0.38,0.347,-13.936,0.956,0.00818,0.36,0.382,112.394,Ghazal
266,0.485,0.345,-8.763,0.759,0.0,0.381,0.411,108.407,Ghazal
267,0.702,0.771,-1.108,0.628,0.0,0.0942,0.773,120.022,Ghazal
268,0.634,0.32,-12.356,0.422,0.0,0.153,0.65,91.039,Ghazal
269,0.687,0.43,-10.31,0.6,2.49e-06,0.132,0.241,115.01,Ghazal
270,0.681,0.242,-18.064,0.597,0.000192,0.105,0.549,90.635,Ghazal
271,0.578,0.547,-8.561,0.574,0.000269,0.0384,0.529,128.4,Ghazal
272,0.553,0.584,-10.815,0.726,0.0,0.255,0.868,97.94,Ghazal
273,0.341,0.108,-11.888,0.995,0.591,0.196,0.514,73.871,Ghazal
274,0.4,0.918,-0.531,0.42,0.0,0.157,0.783,95.885,Ghazal
275,0.304,0.651,-10.418,0.743,0.000367,0.474,0.683,80.771,Ghazal
276,0.705,0.48,-12.556,0.909,0.00473,0.0944,0.8,108.178,Ghazal
277,0.43,0.482,-9.293,0.798,0.000714,0.108,0.736,79.583,Ghazal
278,0.686,0.838,-11.438,0.0496,4.69e-05,0.38,0.565,91.966,Ghazal
279,0.851,0.749,-7.18,0.183,0.00503,0.0586,0.707,127.037,Ghazal
280,0.236,0.37,-17.172,0.732,0.00181,0.0728,0.551,144.419,Ghazal
281,0.905,0.641,-8.235,0.018,3.01e-05,0.205,0.885,119.953,Ghazal
282,0.503,0.423,-8.344,0.935,0.00482,0.352,0.371,85.061,Ghazal
283,0.576,0.558,-9.808,0.774,0.000599,0.176,0.718,109.107,Ghazal
284,0.328,0.349,-17.146,0.887,0.917,0.539,0.484,112.874,Ghazal
285,0.746,0.449,-10.063,0.249,0.00298,0.128,0.666,122.004,Ghazal
286,0.522,0.342,-11.994,0.92,0.0131,0.137,0.359,84.202,Ghazal
287,0.503,0.423,-8.344,0.935,0.00482,0.352,0.371,85.061,Ghazal
288,0.803,0.426,-11.54,0.418,2.23e-05,0.11,0.556,114.945,Ghazal
289,0.449,0.626,-5.715,0.82,0.0,0.616,0.467,100.004,Ghazal
290,0.684,0.557,-11.187,0.0183,0.0,0.17,0.799,122.009,Ghazal
291,0.394,0.517,-11.817,0.362,2.26e-06,0.129,0.646,157.333,Ghazal
292,0.575,0.428,-14.992,0.475,6.3e-05,0.315,0.729,134.851,Ghazal
293,0.589,0.885,-3.4,0.545,0.0,0.132,0.831,91.01,Ghazal
294,0.364,0.639,-12.455,0.43,2.75e-05,0.156,0.644,99.072,Ghazal
295,0.521,0.329,-11.96,0.833,8.94e-05,0.152,0.598,100.149,Ghazal
296,0.312,0.502,-12.55,0.458,0.000273,0.481,0.378,140.627,Ghazal
297,0.57,0.288,-16.153,0.958,0.453,0.0817,0.72,131.731,Ghazal
298,0.571,0.509,-8.782,0.918,0.000293,0.264,0.905,104.911,Ghazal
299,0.436,0.619,-11.49,0.739,1.94e-05,0.0695,0.668,87.631,Ghazal
300,0.486,0.489,-11.968,0.249,0.0,0.156,0.682,128.731,Ghazal
301,0.681,0.242,-18.064,0.597,0.000192,0.105,0.549,90.635,Ghazal
302,0.513,0.359,-11.288,0.971,9.85e-05,0.218,0.741,120.251,Ghazal
303,0.373,0.424,-12.798,0.573,0.0,0.0496,0.445,155.468,Ghazal
304,0.451,0.807,-2.222,0.649,0.0,0.143,0.613,90.136,Ghazal
305,0.521,0.341,-13.687,0.949,0.00934,0.12,0.663,99.801,Ghazal
306,0.366,0.454,-10.701,0.631,0.0,0.286,0.28,138.327,Ghazal
307,0.4,0.661,-7.783,0.86,0.0,0.0868,0.682,103.674,Ghazal
308,0.461,0.412,-10.772,0.707,1.45e-05,0.141,0.367,125.794,Ghazal
309,0.582,0.262,-14.212,0.828,7.41e-05,0.0812,0.489,95.191,Ghazal
310,0.681,0.888,-4.716,0.342,0.0,0.087,0.781,133.991,Ghazal
311,0.572,0.43,-14.334,0.593,0.0,0.0808,0.6,150.075,Ghazal
312,0.403,0.439,-15.154,0.073,0.00069,0.0828,0.325,84.822,Ghazal
313,0.628,0.551,-6.841,0.394,0.0,0.178,0.385,136.899,Ghazal
314,0.527,0.693,-7.529,0.706,0.0,0.0533,0.609,143.007,Ghazal
315,0.374,0.331,-12.652,0.352,1.46e-05,0.178,0.594,171.381,Ghazal
316,0.527,0.447,-12.014,0.243,0.0,0.255,0.536,94.051,Ghazal
317,0.582,0.262,-14.212,0.828,7.41e-05,0.0812,0.489,95.191,Ghazal
318,0.527,0.735,-11.352,0.501,0.0,0.0318,0.892,139.064,Ghazal
319,0.694,0.622,-7.716,0.393,4.11e-05,0.0665,0.451,128.026,Ghazal
320,0.63,0.781,-10.534,0.629,1.84e-05,0.232,0.772,145.436,Ghazal
321,0.64,0.399,-16.303,0.427,0.00247,0.381,0.579,87.972,Ghazal
322,0.36,0.755,-6.312,0.555,3.22e-06,0.411,0.546,112.812,Ghazal
323,0.351,0.526,-9.629,0.901,0.0138,0.74,0.354,142.475,Ghazal
324,0.391,0.48,-11.934,0.919,0.0156,0.768,0.771,100.761,Ghazal
325,0.44,0.492,-11.875,0.963,0.802,0.325,0.553,127.366,Ghazal
326,0.313,0.528,-11.037,0.894,0.113,0.114,0.267,133.409,Ghazal
327,0.807,0.458,-11.461,0.0977,0.000643,0.189,0.59,113.092,Ghazal
328,0.293,0.35,-11.274,0.96,0.0011,0.147,0.274,90.771,Ghazal
329,0.404,0.482,-13.211,0.795,0.00134,0.158,0.772,132.968,Ghazal
330,0.354,0.272,-13.642,0.907,0.612,0.0848,0.263,90.566,Ghazal
331,0.482,0.716,-9.984,0.678,0.0,0.102,0.65,82.882,Ghazal
332,0.537,0.754,-7.258,0.176,0.0,0.234,0.599,90.042,Ghazal
333,0.514,0.459,-11.792,0.91,0.00217,0.393,0.835,109.924,Ghazal
334,0.705,0.48,-12.556,0.909,0.00473,0.0944,0.8,108.178,Ghazal
335,0.527,0.447,-12.014,0.243,0.0,0.255,0.536,94.051,Ghazal
336,0.697,0.896,0.005,0.867,0.875,0.313,0.875,122.283,Ghazal
337,0.409,0.29,-9.136,0.552,3.82e-06,0.54,0.291,179.895,Ghazal
338,0.807,0.458,-11.461,0.0977,0.000643,0.189,0.59,113.092,Ghazal
339,0.604,0.497,-6.933,0.748,0.0,0.358,0.549,95.008,Ghazal
340,0.729,0.602,-10.323,0.171,0.0,0.0568,0.869,147.998,Ghazal
341,0.543,0.637,-9.817,0.2,0.000119,0.0806,0.827,79.087,Ghazal
342,0.64,0.492,-9.308,0.543,1.32e-06,0.0953,0.796,149.901,Ghazal
343,0.374,0.331,-12.652,0.352,1.46e-05,0.178,0.594,171.381,Ghazal
344,0.422,0.484,-4.841,0.642,0.0,0.216,0.282,79.951,Ghazal
345,0.51,0.683,-8.428,0.667,1.06e-06,0.362,0.672,145.281,Ghazal
346,0.315,0.382,-19.335,0.893,0.000595,0.0856,0.498,81.177,Ghazal
347,0.582,0.407,-14.355,0.865,0.0629,0.54,0.952,155.577,Ghazal
348,0.623,0.762,-4.062,0.0158,0.0,0.28,0.197,89.366,Hip-Hop
349,0.478,0.525,-8.98,0.00172,0.0,0.0771,0.0665,90.02,Hip-Hop
350,0.789,0.839,-4.844,0.0353,0.0,0.185,0.546,95.064,Hip-Hop
351,0.813,0.586,-10.478,0.0547,0.0,0.238,0.798,160.043,Hip-Hop
352,0.503,0.751,-5.785,0.215,0.0,0.0551,0.324,90.04,Hip-Hop
353,0.602,0.545,-8.097,0.0023,0.0,0.11,0.0791,113.791,Hip-Hop
354,0.645,0.56,-8.762,0.00495,9.51e-05,0.0501,0.345,141.872,Hip-Hop
355,0.811,0.458,-9.688,0.0193,1.41e-06,0.0526,0.797,92.94,Hip-Hop
356,0.944,0.613,-5.999,0.00818,0.0,0.0893,0.328,120.102,Hip-Hop
357,0.844,0.754,-5.46,0.00833,3.42e-06,0.0575,0.961,100.002,Hip-Hop
358,0.738,0.587,-7.236,0.00191,0.026,0.0414,0.781,186.411,Hip-Hop
359,0.578,0.588,-4.92,0.415,0.0,0.114,0.3,79.174,Hip-Hop
360,0.857,0.867,-4.952,0.0271,0.0,0.128,0.918,104.382,Hip-Hop
361,0.468,0.626,-8.273,0.0501,0.0,0.0835,0.396,167.394,Hip-Hop
362,0.746,0.653,-6.745,0.378,0.0,0.229,0.672,75.016,Hip-Hop
363,0.751,0.708,-5.653,0.0482,1.85e-05,0.107,0.509,108.97,Hip-Hop
364,0.458,0.766,-5.401,0.113,6.8e-05,0.207,0.688,111.26,Hip-Hop
365,0.735,0.687,-7.313,0.152,0.000457,0.0952,0.534,123.037,Hip-Hop
366,0.637,0.66,-4.792,0.217,0.0,0.09,0.503,90.876,Hip-Hop
367,0.444,0.287,-10.631,0.849,2.82e-06,0.161,0.246,124.027,Hip-Hop
368,0.709,0.362,-9.814,0.157,0.0,0.109,0.113,122.043,Hip-Hop
369,0.885,0.595,-5.487,0.656,4.42e-06,0.105,0.754,148.034,Hip-Hop
370,0.85,0.405,-7.509,0.119,0.000118,0.0707,0.344,139.976,Hip-Hop
371,0.736,0.622,-4.653,0.0235,0.0,0.151,0.506,191.971,Hip-Hop
372,0.7,0.538,-5.952,0.000204,0.0,0.105,0.189,136.518,Hip-Hop
373,0.851,0.625,-5.417,0.195,0.0,0.266,0.668,99.061,Hip-Hop
374,0.837,0.626,-4.697,0.0675,0.0,0.257,0.114,95.987,Hip-Hop
375,0.4,0.882,-1.958,0.168,0.0,0.124,0.385,167.114,Hip-Hop
376,0.679,0.509,-7.31,0.0856,0.0,0.438,0.534,144.29,Hip-Hop
377,0.654,0.762,-3.994,0.0956,0.0,0.171,0.0728,132.1,Hip-Hop
378,0.677,0.531,-7.683,0.219,0.0,0.173,0.57,91.104,Hip-Hop
379,0.721,0.836,-3.972,0.112,0.0,0.235,0.508,126.279,Hip-Hop
380,0.722,0.329,-11.617,0.088,0.0,0.081,0.166,99.991,Hip-Hop
381,0.857,0.867,-4.952,0.0271,0.0,0.128,0.918,104.382,Hip-Hop
382,0.688,0.601,-9.432,0.0608,0.0,0.0611,0.56,127.662,Hip-Hop
383,0.577,0.662,-5.124,0.423,0.0,0.118,0.667,156.364,Hip-Hop
384,0.812,0.398,-9.832,0.453,5.4e-06,0.12,0.189,119.955,Hip-Hop
385,0.577,0.601,-8.312,0.0502,0.0,0.255,0.564,152.097,Hip-Hop
386,0.458,0.766,-5.401,0.113,6.8e-05,0.207,0.688,111.26,Hip-Hop
387,0.7,0.384,-9.788,0.152,0.000193,0.327,0.681,77.057,Hip-Hop
388,0.873,0.5,-7.3,0.114,1.05e-05,0.132,0.529,155.07,Hip-Hop
389,0.873,0.5,-7.3,0.114,1.05e-05,0.132,0.529,155.07,Hip-Hop
390,0.713,0.471,-7.392,0.421,0.0,0.0308,0.781,199.765,Hip-Hop
391,0.833,0.681,-6.028,0.0956,0.0,0.0414,0.887,95.48,Hip-Hop
392,0.904,0.723,-5.224,0.0631,0.0,0.185,0.835,145.013,Hip-Hop
393,0.939,0.785,-5.29,0.291,0.0,0.0916,0.545,105.069,Hip-Hop
394,0.772,0.59,-6.957,0.0917,0.0,0.101,0.743,83.998,Hip-Hop
395,0.867,0.68,-5.508,0.0679,0.0,0.0935,0.591,101.652,Hip-Hop
396,0.772,0.695,-8.013,0.00295,0.0,0.427,0.643,137.868,Hip-Hop
397,0.493,0.542,-8.016,0.0774,0.0,0.239,0.172,109.399,Hip-Hop
398,0.485,0.629,-6.253,0.0728,1.2e-05,0.0951,0.448,163.528,Hip-Hop
399,0.691,0.541,-5.873,0.508,0.0,0.0753,0.319,127.683,Hip-Hop
400,0.86,0.507,-5.776,0.0408,6.15e-06,0.14,0.15,85.005,Hip-Hop
401,0.716,0.668,-5.136,0.279,0.0,0.337,0.744,141.006,Hip-Hop
402,0.732,0.772,-6.142,0.194,1.54e-06,0.242,0.493,123.009,Hip-Hop
403,0.567,0.388,-9.579,0.782,0.000309,0.248,0.452,116.362,Hip-Hop
404,0.81,0.566,-8.33,0.107,0.0,0.122,0.582,142.069,Hip-Hop
405,0.92,0.833,-3.18,0.0277,0.0,0.0596,0.645,141.033,Hip-Hop
406,0.764,0.396,-8.566,0.227,7.54e-05,0.12,0.475,92.006,Hip-Hop
407,0.34,0.426,-7.216,0.652,0.0,0.0891,0.349,111.528,Hip-Hop
408,0.802,0.737,-4.862,0.275,0.0,0.113,0.712,127.014,Hip-Hop
409,0.833,0.619,-5.595,0.111,2.13e-05,0.159,0.901,109.92,Hip-Hop
410,0.735,0.441,-8.412,0.0972,0.0,0.0967,0.591,108.015,Hip-Hop
411,0.691,0.675,-5.612,0.345,0.0,0.229,0.925,73.024,Hip-Hop
412,0.765,0.795,-4.559,0.22,0.000397,0.108,0.654,101.981,Hip-Hop
413,0.768,0.623,-2.88,0.377,0.0,0.0609,0.428,105.025,Hip-Hop
414,0.461,0.653,-8.617,0.158,0.0,0.197,0.588,81.628,Hip-Hop
415,0.691,0.529,-4.535,0.171,0.0,0.135,0.58,96.024,Hip-Hop
416,0.804,0.66,-4.86,0.0319,0.0,0.103,0.257,94.053,Hip-Hop
417,0.547,0.475,-10.77,0.358,0.0,0.198,0.357,99.464,Hip-Hop
418,0.67,0.616,-6.123,0.573,0.0,0.0535,0.523,120.129,Hip-Hop
419,0.677,0.557,-8.409,0.00508,8.36e-06,0.0984,0.1,150.127,Hip-Hop
420,0.545,0.325,-15.253,0.943,0.315,0.112,0.039,105.85,Hip-Hop
421,0.644,0.443,-7.308,0.442,0.0,0.117,0.0534,109.936,Hip-Hop
422,0.577,0.662,-5.124,0.423,0.0,0.118,0.667,156.364,Hip-Hop
423,0.817,0.646,-5.12,0.0152,0.0,0.125,0.835,162.898,Hip-Hop
424,0.724,0.636,-8.476,0.0477,0.0,0.133,0.45,139.958,Hip-Hop
425,0.35,0.12,-11.104,0.982,0.000289,0.103,0.121,68.995,Hip-Hop
426,0.765,0.437,-10.122,0.0267,1.28e-06,0.167,0.499,92.414,Hip-Hop
427,0.444,0.708,-5.926,0.0419,0.0,0.0775,0.26,105.412,Hip-Hop
428,0.758,0.642,-8.128,0.0745,0.0,0.191,0.701,142.078,Hip-Hop
429,0.59,0.598,-7.153,0.0697,0.0,0.112,0.34,156.073,Hip-Hop
430,0.84,0.571,-7.421,0.16,0.0,0.406,0.617,116.59,Hip-Hop
431,0.819,0.778,-5.839,0.029,0.0,0.215,0.779,96.72,Hip-Hop
432,0.737,0.597,-7.333,0.292,0.0,0.13,0.448,92.049,Hip-Hop
433,0.794,0.728,-6.759,0.121,8.82e-06,0.227,0.36,105.024,Hip-Hop
434,0.543,0.394,-9.637,0.695,0.000239,0.108,0.118,137.811,Hip-Hop
435,0.274,0.792,-4.388,0.00833,0.0,0.131,0.092,179.067,Metal
436,0.266,0.866,-7.885,5.44e-06,0.0185,0.0961,0.211,119.41,Metal
437,0.5,0.948,-6.438,0.000749,0.102,0.0698,0.374,144.401,Metal
438,0.343,0.981,-4.13,0.00508,0.00188,0.0795,0.16,105.88,Metal
439,0.374,0.607,-8.593,0.326,0.203,0.14,0.484,168.524,Metal
440,0.702,0.58,-8.843,0.6,0.727,0.125,0.717,76.008,Metal
441,0.526,0.878,-5.654,0.000783,7.73e-06,0.272,0.489,95.985,Metal
442,0.485,0.656,-9.8,0.00479,0.753,0.153,0.126,172.053,Metal
443,0.388,0.468,-9.155,0.0479,0.425,0.705,0.112,128.814,Metal
444,0.505,0.903,-8.055,0.00109,0.85,0.185,0.52,127.118,Metal
445,0.416,0.988,-3.466,0.000839,0.0,0.137,0.47,174.995,Metal
446,0.481,0.985,-4.535,1.38e-05,0.114,0.106,0.204,94.935,Metal
447,0.666,0.516,-9.602,0.226,0.878,0.11,0.603,89.47,Metal
448,0.457,0.424,-8.861,0.351,0.0,0.105,0.134,137.769,Metal
449,0.521,0.985,-4.165,9.68e-05,0.0,0.209,0.151,75.013,Metal
450,0.473,0.989,-4.212,0.000645,5.7e-06,0.342,0.327,93.988,Metal
451,0.433,0.595,-6.797,0.101,0.0,0.342,0.24,74.989,Metal
452,0.776,0.498,-8.202,0.134,0.631,0.119,0.875,86.332,Metal
453,0.399,0.985,-5.114,2.11e-05,0.566,0.0537,0.224,94.233,Metal
454,0.454,0.913,-4.008,0.408,0.000271,0.248,0.521,137.688,Metal
455,0.409,0.877,-5.865,0.00329,0.0,0.222,0.403,177.928,Metal
456,0.233,0.706,-7.445,0.459,0.0147,0.159,0.255,125.694,Metal
457,0.622,0.905,-5.12,0.00329,2.93e-05,0.115,0.441,96.049,Metal
458,0.509,0.856,-3.943,0.00017,0.00302,0.12,0.535,84.542,Metal
459,0.279,0.877,-4.513,0.000668,0.0198,0.0946,0.328,112.494,Metal
460,0.448,0.947,-6.658,0.000119,0.0201,0.116,0.0835,124.045,Metal
461,0.387,0.942,-8.052,0.00854,0.000437,0.491,0.251,134.558,Metal
462,0.448,0.871,-4.911,0.00182,1.72e-05,0.0832,0.404,156.049,Metal
463,0.68,0.573,-7.459,0.325,0.913,0.158,0.332,88.494,Metal
464,0.284,0.888,-5.356,0.000533,0.21,0.075,0.226,93.906,Metal
465,0.334,0.933,-4.49,0.00732,0.0,0.264,0.18,132.812,Metal
466,0.496,0.62,-7.458,0.00386,1.47e-06,0.114,0.279,140.06,Metal
467,0.558,0.886,-4.196,0.000595,9.91e-05,0.0904,0.171,114.041,Metal
468,0.307,0.748,-6.514,0.212,0.000153,0.368,0.347,108.227,Metal
469,0.507,0.479,-8.624,0.0388,0.0,0.118,0.107,139.68,Metal
470,0.405,0.949,-4.599,1.5e-05,0.889,0.215,0.188,94.422,Metal
471,0.476,0.991,-2.855,0.00191,0.0,0.121,0.202,82.997,Metal
472,0.329,0.974,-8.77,0.000852,0.000118,0.0904,0.234,140.862,Metal
473,0.544,0.96,-4.681,0.00058,1.99e-05,0.0531,0.718,154.966,Metal
474,0.342,0.898,-6.5,0.000562,0.083,0.251,0.564,89.533,Metal
475,0.174,0.872,-5.966,7.67e-06,0.778,0.262,0.134,134.54,Metal
476,0.581,0.791,-7.262,0.00835,6.02e-05,0.142,0.619,123.887,Metal
477,0.476,0.331,-14.884,0.31,2.82e-06,0.172,0.24,130.574,Metal
478,0.362,0.963,-4.564,3.01e-05,7.63e-05,0.075,0.735,141.253,Metal
479,0.425,0.992,-3.462,0.000122,0.121,0.0548,0.251,102.547,Metal
480,0.32,0.992,-4.209,1.29e-05,0.555,0.295,0.29,119.982,Metal
481,0.501,0.944,-6.368,0.00562,0.0,0.366,0.652,130.31,Metal
482,0.616,0.734,-7.349,0.00878,0.0715,0.16,0.302,110.838,Metal
483,0.684,0.539,-7.593,0.175,0.584,0.0698,0.748,79.002,Metal
484,0.383,0.971,-3.937,2.72e-05,0.00452,0.0872,0.404,154.914,Metal
485,0.481,0.746,-4.233,0.000687,0.0,0.131,0.545,85.934,Metal
486,0.663,0.531,-8.275,0.0791,0.753,0.128,0.336,88.501,Metal
487,0.33,0.734,-4.972,0.000953,0.0,0.0874,0.256,178.986,Metal
488,0.449,0.994,-4.836,0.000106,2.13e-06,0.102,0.447,149.91,Metal
489,0.363,0.7,-7.404,0.0526,0.00938,0.113,0.277,146.193,Metal
490,0.495,0.961,-4.036,0.00508,1.29e-05,0.0492,0.447,100.494,Metal
491,0.578,0.937,-3.926,0.000963,2.25e-06,0.4,0.769,137.937,Metal
492,0.525,0.619,-8.096,0.127,0.0,0.172,0.381,92.501,Metal
493,0.397,0.852,-6.348,0.00024,0.000282,0.228,0.506,96.064,Metal
494,0.501,0.762,-7.997,0.0383,0.0411,0.313,0.0665,83.941,Metal
495,0.161,0.992,-7.427,5.37e-05,0.973,0.485,0.0752,181.826,Metal
496,0.274,0.821,-4.559,0.00256,9e-06,0.154,0.301,73.222,Metal
497,0.375,0.818,-2.031,0.000372,2.86e-05,0.121,0.411,75.966,Metal
498,0.297,0.977,-4.664,7.68e-05,0.581,0.37,0.184,105.891,Metal
499,0.273,0.987,-4.02,0.000669,0.00023,0.0606,0.296,176.768,Metal
500,0.354,0.829,-3.834,0.00183,0.0,0.119,0.195,163.958,Metal
501,0.705,0.58,-7.745,0.0393,0.365,0.111,0.303,131.877,Metal
502,0.664,0.828,-6.053,0.00839,0.0,0.294,0.82,103.985,Metal
503,0.542,0.963,-4.659,0.000313,0.102,0.255,0.471,97.01,Metal
504,0.626,0.721,-6.35,0.0014,0.00575,0.203,0.493,116.414,Metal
505,0.291,0.887,-4.629,0.161,0.000634,0.103,0.183,175.921,Metal
506,0.486,0.981,-4.171,0.00111,0.000276,0.151,0.296,76.082,Metal
507,0.357,0.971,-4.098,0.000128,5.4e-06,0.299,0.459,195.071,Metal
508,0.231,0.893,-7.38,0.00334,0.307,0.699,0.0398,137.841,Metal
509,0.508,0.966,-5.1,0.0116,0.894,0.235,0.472,121.996,Metal
510,0.485,0.674,-6.471,0.0428,4.51e-05,0.103,0.224,72.438,Metal
511,0.562,0.719,-5.842,0.000847,0.108,0.109,0.16,74.516,Metal
512,0.282,0.656,-6.557,0.0105,0.0,0.0892,0.242,139.352,Metal
513,0.435,0.836,-4.549,0.000205,0.497,0.23,0.0523,113.036,Metal
514,0.416,0.957,-3.964,0.00355,0.000314,0.0687,0.751,137.873,Metal
515,0.631,0.614,-11.278,0.171,0.112,0.0747,0.591,168.125,Metal
516,0.346,0.749,-6.506,0.00167,8.86e-05,0.648,0.315,102.591,Metal
517,0.548,0.514,-11.519,0.373,0.473,0.135,0.435,77.951,Metal
518,0.546,0.977,-4.603,0.000281,0.805,0.146,0.355,107.999,Metal
519,0.464,0.955,-5.55,0.000194,0.611,0.0954,0.312,124.993,Metal
520,0.303,0.978,-2.123,0.00653,0.0,0.0958,0.28,170.286,Metal
521,0.844,0.568,-9.834,0.0969,0.604,0.109,0.378,80.007,Metal
522,0.772,0.396,-12.94,0.113,0.0115,0.0708,0.599,127.965,Pop
523,0.847,0.754,-5.444,0.00804,4.49e-06,0.0517,0.957,100.0,Pop
524,0.748,0.767,-5.335,0.141,5.06e-06,0.0999,0.821,112.025,Pop
525,0.743,0.898,-4.8,0.109,0.000235,0.16,0.723,112.035,Pop
526,0.544,0.915,-3.405,0.129,0.000914,0.115,0.51,126.094,Pop
527,0.715,0.668,-5.083,0.0357,0.0,0.0869,0.377,124.014,Pop
528,0.595,0.507,-7.892,0.732,1.97e-05,0.106,0.337,86.099,Pop
529,0.723,0.633,-7.534,0.108,0.0,0.104,0.915,94.086,Pop
530,0.371,0.0731,-8.051,0.931,0.0,0.0717,0.316,137.466,Pop
531,0.775,0.573,-4.933,0.495,0.0,0.126,0.667,101.925,Pop
532,0.768,0.623,-2.88,0.377,0.0,0.0609,0.428,105.025,Pop
533,0.554,0.774,-5.813,0.0377,0.0,0.114,0.683,121.951,Pop
534,0.42,0.258,-16.526,0.532,0.0464,0.0885,0.136,174.235,Pop
535,0.863,0.588,-7.141,0.142,3.42e-05,0.457,0.751,117.911,Pop
536,0.701,0.457,-8.562,0.0138,0.0,0.054,0.298,127.925,Pop
537,0.622,0.532,-7.143,0.269,5.37e-05,0.158,0.364,76.459,Pop
538,0.591,0.705,-6.519,0.381,0.000116,0.131,0.27,121.799,Pop
539,0.648,0.736,-7.948,0.0444,0.000137,0.171,0.378,103.027,Pop
540,0.415,0.369,-10.044,0.0303,7.64e-06,0.383,0.0913,95.746,Pop
541,0.71,0.61,-6.316,0.0371,0.00178,0.133,0.457,125.018,Pop
542,0.693,0.678,-7.159,0.0154,6.05e-06,0.101,0.404,103.952,Pop
543,0.59,0.598,-7.153,0.0697,0.0,0.112,0.34,156.073,Pop
544,0.58,0.804,-4.618,0.0304,0.00359,0.105,0.137,126.005,Pop
545,0.754,0.319,-8.773,0.425,1.1e-06,0.127,0.382,129.858,Pop
546,0.827,0.673,-8.401,0.192,0.00136,0.146,0.779,78.007,Pop
547,0.812,0.398,-9.832,0.453,5.4e-06,0.12,0.189,119.955,Pop
548,0.477,0.706,-6.625,0.0485,0.0,0.247,0.644,79.881,Pop
549,0.625,0.744,-7.0,0.00479,0.0,0.18,0.49,109.863,Pop
550,0.79,0.472,-6.999,0.325,5.83e-06,0.276,0.287,115.055,Pop
551,0.648,0.531,-5.886,0.26,0.000897,0.12,0.253,143.008,Pop
552,0.648,0.736,-7.948,0.0444,0.000137,0.171,0.378,103.027,Pop
553,0.877,0.854,-4.523,0.0544,5.5e-05,0.144,0.54,114.472,Pop
554,0.685,0.712,-4.302,0.334,1.1e-06,0.047,0.483,114.989,Pop
555,0.719,0.705,-5.057,0.0175,0.0,0.348,0.599,100.03,Pop
556,0.676,0.786,-4.529,0.197,0.0,0.0943,0.483,125.983,Pop
