,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,Genre
23,0.345,0.659,-8.99,0.667,0.0852,0.322,0.504,70.527,yodel
24,0.634,0.57,-8.053,0.97,0.00974,0.12,0.971,82.499,yodel
25,0.418,0.25,-12.118,0.404,0.0,0.359,0.608,67.753,yodel
26,0.441,0.0361,-22.956,0.992,0.0595,0.124,0.462,74.943,yodel
27,0.517,0.0648,-17.583,0.952,8.24e-05,0.0573,0.611,103.102,yodel
28,0.721,0.332,-11.948,0.908,0.0496,0.0687,0.924,146.495,yodel
29,0.66,0.223,-17.305,0.97,0.307,0.164,0.959,139.575,yodel
30,0.547,0.385,-10.477,0.814,0.0,0.105,0.864,126.787,yodel
31,0.356,0.632,-12.275,0.797,0.0,0.135,0.989,169.723,yodel
32,0.535,0.787,-3.456,0.712,0.000666,0.196,0.974,138.026,yodel
33,0.416,0.477,-5.764,0.846,0.0,0.36,0.664,98.779,yodel
34,0.602,0.403,-9.494,0.793,6.94e-05,0.0476,0.785,97.521,yodel
35,0.396,0.246,-11.879,0.976,0.00792,0.172,0.829,189.64,yodel
36,0.488,0.469,-11.141,0.803,0.00799,0.0224,0.955,141.507,yodel
37,0.167,0.122,-12.739,0.992,0.196,0.0942,0.154,173.892,yodel
38,0.572,0.426,-10.637,0.922,1.02e-05,0.311,0.797,77.243,yodel
39,0.486,0.135,-13.551,0.937,0.0,0.0869,0.203,55.3,yodel
40,0.513,0.433,-7.174,0.938,0.0002,0.361,0.664,126.283,yodel
41,0.568,0.248,-11.544,0.807,0.0,0.0726,0.753,135.025,yodel
42,0.473,0.0934,-11.028,0.94,0.0,0.0983,0.21,129.239,yodel
43,0.416,0.599,-6.948,0.541,0.0,0.234,0.415,105.819,yodel
44,0.201,0.275,-9.377,0.819,1.71e-05,0.256,0.27,72.198,yodel
45,0.658,0.733,-9.488,0.665,0.55,0.0404,0.966,127.053,yodel
46,0.726,0.387,-11.364,0.719,0.0,0.563,0.844,117.012,yodel
47,0.629,0.314,-10.636,0.814,1.34e-06,0.0496,0.748,125.545,yodel
48,0.559,0.514,-4.672,0.746,0.0,0.139,0.933,83.272,yodel
49,0.574,0.0978,-15.519,0.993,0.000101,0.104,0.413,77.833,yodel
50,0.521,0.732,-4.321,0.352,0.0,0.049,0.965,127.093,yodel
51,0.637,0.434,-11.549,0.802,0.000118,0.292,0.899,126.819,yodel
52,0.515,0.658,-6.065,0.677,0.0,0.136,0.938,129.591,yodel
53,0.267,0.396,-5.416,0.896,0.0,0.0933,0.259,170.561,yodel
54,0.615,0.129,-14.102,0.964,0.0,0.115,0.556,87.212,yodel
55,0.643,0.4,-10.22,0.884,1.14e-05,0.171,0.834,108.502,yodel
56,0.732,0.479,-9.318,0.857,0.00238,0.197,0.966,112.199,yodel
57,0.574,0.0978,-15.519,0.993,0.000101,0.104,0.413,77.833,yodel
58,0.675,0.435,-12.275,0.724,0.0241,0.306,0.961,126.679,yodel
59,0.682,0.32,-18.704,0.915,1.32e-06,0.248,0.963,121.945,yodel
0,0.653,0.609,-7.519,0.263,0.00101,0.233,0.482,95.982,Blues
1,0.763,0.629,-8.66,0.0891,0.0,0.169,0.709,142.149,Blues
2,0.857,0.867,-4.952,0.0271,0.0,0.128,0.918,104.382,Blues
3,0.527,0.631,-5.442,0.0401,0.0,0.0801,0.348,116.405,Blues
4,0.73,0.38,-8.558,0.0319,4.93e-05,0.12,0.323,114.973,Blues
5,0.701,0.669,-5.265,0.271,0.0,0.158,0.446,83.066,Blues
6,0.858,0.484,-7.448,0.0241,1.8e-06,0.123,0.329,99.992,Blues
7,0.779,0.715,-5.886,0.297,0.0,0.157,0.621,126.036,Blues
8,0.547,0.341,-10.072,0.904,0.00149,0.0953,0.0647,137.052,Blues
9,0.623,0.271,-11.719,0.995,0.0229,0.13,0.535,105.085,Blues
10,0.691,0.542,-8.161,0.0112,0.0,0.098,0.587,80.052,Blues
11,0.791,0.61,-5.408,0.288,0.00123,0.0457,0.907,93.277,Blues
12,0.547,0.294,-10.202,0.0607,0.786,0.0933,0.11,105.027,Blues
13,0.819,0.774,-2.53,0.0297,0.000626,0.0896,0.947,95.004,Blues
14,0.697,0.629,-5.757,0.409,3.8e-06,0.0819,0.439,123.279,Blues
15,0.733,0.676,-5.655,0.0697,0.0,0.208,0.701,97.448,Blues
16,0.707,0.543,-4.61,0.151,0.0,0.384,0.824,144.18,Blues
17,0.857,0.69,-4.474,0.0415,0.0,0.0942,0.799,121.09,Blues
18,0.64,0.433,-9.432,0.509,4.9e-06,0.103,0.25,176.086,Blues
19,0.494,0.425,-5.317,0.848,5.12e-05,0.0895,0.275,66.602,Blues
20,0.77,0.458,-10.663,0.0533,1.53e-05,0.139,0.177,127.956,Blues
21,0.73,0.244,-14.235,0.913,0.0,0.0879,0.734,114.782,Blues
22,0.772,0.59,-6.957,0.0917,0.0,0.101,0.743,83.998,Blues
23,0.625,0.576,-5.693,0.0543,4.07e-05,0.187,0.235,179.063,Blues
24,0.639,0.907,-4.749,0.0444,0.0,0.114,0.699,120.954,Blues
25,0.635,0.795,-5.089,0.0448,1.48e-05,0.119,0.404,103.951,Blues
26,0.816,0.675,-8.23,0.0864,0.000143,0.0793,0.615,151.444,Blues
27,0.625,0.456,-9.537,0.104,0.000161,0.334,0.642,73.927,Blues
28,0.675,0.311,-11.959,0.93,0.000261,0.102,0.638,97.159,Blues
29,0.764,0.525,-5.969,0.0296,0.0,0.0993,0.787,95.813,Blues
30,0.432,0.214,-13.655,0.886,5.83e-06,0.0933,0.274,204.426,Blues
31,0.754,0.319,-8.773,0.425,1.1e-06,0.127,0.382,129.858,Blues
32,0.61,0.41,-9.215,0.442,0.0,0.113,0.116,109.962,Blues
33,0.547,0.59,-9.194,0.171,0.0,0.0391,0.442,126.11,Blues
34,0.878,0.417,-6.799,0.0444,0.0,0.0833,0.904,77.49,Blues
35,0.944,0.511,-10.96,0.042,0.00107,0.0379,0.842,113.046,Blues
36,0.573,0.712,-5.976,0.0572,0.0,0.167,0.346,140.012,Blues
37,0.878,0.821,-9.875,0.126,0.0461,0.183,0.947,118.881,Blues
38,0.39,0.335,-12.717,0.669,0.0,0.0958,0.295,77.975,Blues
39,0.781,0.628,-5.765,0.0923,0.00146,0.227,0.362,122.024,Blues
40,0.319,0.232,-14.57,0.902,0.000103,0.0873,0.296,175.309,Blues
41,0.725,0.888,-4.272,0.384,0.00269,0.163,0.595,87.011,Blues
42,0.693,0.599,-5.971,0.417,0.0,0.0963,0.632,147.886,Blues
43,0.499,0.61,-5.11,0.473,0.0,0.0722,0.436,172.969,Blues
44,0.767,0.551,-7.328,0.00364,0.0,0.0451,0.796,100.904,Blues
45,0.415,0.369,-10.044,0.0303,7.64e-06,0.383,0.0913,95.746,Blues
46,0.472,0.532,-5.882,0.586,0.0,0.106,0.152,129.777,Blues
47,0.78,0.71,-7.429,0.0143,3.49e-05,0.0366,0.858,96.067,Blues
48,0.724,0.778,-5.648,0.101,0.0,0.252,0.858,75.007,Blues
49,0.66,0.707,-5.758,0.397,0.0,0.211,0.761,89.279,Blues
50,0.835,0.707,-5.074,0.0219,2.19e-05,0.108,0.919,93.955,Blues
51,0.592,0.473,-8.848,0.496,6.87e-06,0.103,0.158,118.134,Blues
52,0.561,0.764,-6.645,0.373,0.0,0.157,0.598,145.158,Blues
53,0.815,0.513,-8.363,0.0145,0.000102,0.14,0.17,96.982,Blues
54,0.902,0.614,-6.529,0.184,0.000742,0.0867,0.862,94.069,Blues
55,0.731,0.405,-7.927,0.107,0.0,0.0602,0.54,112.918,Blues
56,0.494,0.511,-12.054,0.0325,0.0,0.641,0.506,168.255,Blues
57,0.845,0.576,-5.15,0.139,0.0,0.0764,0.461,127.641,Blues
58,0.566,0.693,-6.917,0.361,0.0,0.0806,0.838,78.743,Blues
59,0.677,0.52,-6.255,0.00277,0.0,0.0532,0.768,203.862,Blues
60,0.587,0.648,-6.954,0.0279,0.0,0.962,0.37,119.888,Blues
61,0.626,0.441,-10.637,0.761,0.0138,0.0685,0.563,78.094,Blues
62,0.733,0.521,-3.657,0.107,0.0,0.0692,0.525,112.913,Blues
63,0.477,0.706,-6.625,0.0485,0.0,0.247,0.644,79.881,Blues
64,0.685,0.38,-11.219,0.373,0.0,0.0371,0.87,175.562,Blues
65,0.771,0.674,-5.136,0.171,0.0,0.096,0.686,125.01,Blues
66,0.771,0.728,-5.39,0.184,0.0,0.139,0.809,131.109,Blues
67,0.742,0.579,-6.289,0.283,0.133,0.152,0.541,130.033,Blues
68,0.767,0.839,-5.519,0.0318,9.31e-06,0.111,0.461,98.055,Blues
69,0.67,0.616,-6.123,0.573,0.0,0.0535,0.523,120.129,Blues
70,0.731,0.355,-12.741,0.00864,5.14e-05,0.0579,0.529,175.72,Blues
71,0.684,0.176,-18.217,0.992,0.0113,0.174,0.644,109.723,Blues
72,0.697,0.536,-9.113,0.314,0.00303,0.344,0.734,99.972,Blues
73,0.353,0.921,-5.64,0.0488,0.065,0.314,0.526,145.589,Blues
74,0.808,0.535,-12.521,0.179,9.91e-05,0.158,0.848,114.031,Blues
75,0.88,0.728,-6.939,0.136,5.42e-05,0.337,0.715,160.976,Blues
76,0.467,0.752,-3.244,0.208,0.0,0.164,0.728,122.775,Blues
77,0.545,0.325,-15.253,0.943,0.315,0.112,0.039,105.85,Blues
78,0.685,0.508,-6.4,0.193,0.0,0.139,0.315,99.063,Blues
79,0.461,0.653,-8.617,0.158,0.0,0.197,0.588,81.628,Blues
80,0.578,0.588,-4.92,0.415,0.0,0.114,0.3,79.174,Blues
81,0.649,0.478,-7.503,0.274,0.0,0.176,0.151,99.967,Blues
82,0.986,0.597,-6.809,0.145,2.18e-06,0.197,0.761,115.004,Blues
83,0.869,0.672,-5.66,0.184,0.0,0.076,0.813,120.954,Blues
84,0.819,0.778,-5.839,0.029,0.0,0.215,0.779,96.72,Blues
85,0.673,0.614,-5.426,0.0782,0.0,0.139,0.362,176.052,Blues
86,0.652,0.678,-6.183,0.183,3.26e-05,0.106,0.28,72.989,Blues
87,0.169,0.0111,-37.808,0.973,0.196,0.118,0.0335,87.662,Classical
88,0.342,0.0192,-39.219,0.875,0.0787,0.0615,0.189,159.236,Classical
89,0.301,0.0903,-20.611,0.984,3.69e-06,0.216,0.0454,97.108,Classical
90,0.371,0.114,-21.628,0.92,0.656,0.0729,0.357,128.553,Classical
91,0.522,0.418,-14.22,0.668,0.767,0.0812,0.764,145.848,Classical
92,0.276,0.0318,-28.722,0.969,0.263,0.173,0.195,169.745,Classical
93,0.542,0.308,-13.207,0.849,0.0,0.12,0.9,118.569,Classical
94,0.486,0.153,-21.492,0.872,0.0745,0.133,0.501,114.879,Classical
95,0.49,0.431,-10.915,0.804,0.00697,0.0906,0.596,123.756,Classical
96,0.3,0.446,-11.353,0.938,0.82,0.542,0.263,99.2,Classical
97,0.333,0.125,-19.339,0.72,0.456,0.0902,0.203,113.221,Classical
98,0.559,0.0088,-27.55,0.969,0.412,0.175,0.593,75.446,Classical
99,0.24,0.0598,-25.736,0.994,0.284,0.0935,0.0425,65.73,Classical
100,0.398,0.373,-14.065,0.889,0.193,0.121,0.61,106.688,Classical
101,0.22,0.0695,-23.639,0.995,0.931,0.0981,0.253,87.635,Classical
102,0.161,0.013,-33.076,0.944,1.97e-05,0.326,0.0292,174.853,Classical
103,0.237,0.145,-23.722,0.964,0.363,0.133,0.0562,118.554,Classical
104,0.382,0.162,-18.373,0.954,0.122,0.327,0.0977,128.373,Classical
105,0.153,0.0949,-21.12,0.675,0.843,0.11,0.0804,71.286,Classical
106,0.402,0.00514,-39.616,0.809,0.524,0.0623,0.616,79.14,Classical
107,0.307,0.229,-15.872,0.764,0.652,0.104,0.238,123.624,Classical
108,0.355,0.188,-18.089,0.975,0.859,0.122,0.214,113.537,Classical
109,0.298,0.00138,-30.876,0.971,0.549,0.126,0.067,97.923,Classical
110,0.173,0.051,-22.169,0.966,0.834,0.149,0.0357,131.446,Classical
111,0.685,0.126,-19.387,0.952,0.0,0.486,0.513,96.347,Classical
112,0.24,0.1,-28.866,0.994,0.902,0.0948,0.407,131.763,Classical
113,0.327,0.0193,-29.775,0.979,0.936,0.131,0.252,71.586,Classical
114,0.215,0.166,-16.627,0.865,0.682,0.106,0.0411,103.442,Classical
115,0.445,0.00237,-29.051,0.99,0.000254,0.0859,0.218,68.008,Classical
116,0.542,0.234,-16.543,0.979,0.19,0.106,0.85,99.875,Classical
117,0.29,0.0077,-38.933,0.983,0.921,0.0787,0.0386,135.607,Classical
118,0.254,0.0643,-22.552,0.995,0.368,0.112,0.0366,83.251,Classical
119,0.58,0.262,-15.236,0.936,0.115,0.126,0.779,116.804,Classical
120,0.353,0.0982,-24.508,0.9,0.00216,0.928,0.493,155.262,Classical
121,0.382,0.0673,-24.081,0.967,0.83,0.122,0.151,87.721,Classical
122,0.574,0.319,-12.236,0.851,0.623,0.113,0.821,108.831,Classical
123,0.355,0.0956,-19.114,0.917,3.77e-06,0.181,0.222,89.024,Classical
124,0.413,0.0149,-23.076,0.994,0.866,0.189,0.0409,62.251,Classical
125,0.625,0.161,-19.353,0.897,0.377,0.0838,0.477,126.343,Classical
126,0.32,0.0428,-24.863,0.977,0.532,0.191,0.173,66.667,Classical
127,0.452,0.312,-16.241,0.855,0.0292,0.141,0.96,149.509,Classical
128,0.52,0.271,-18.128,0.757,0.442,0.211,0.742,111.288,Classical
129,0.242,0.0602,-28.842,0.967,0.482,0.0649,0.1,93.449,Classical
130,0.215,0.00212,-44.964,0.765,0.547,0.116,0.148,128.158,Classical
131,0.148,0.0448,-21.949,0.947,0.707,0.156,0.0398,138.218,Classical
132,0.176,0.188,-18.77,0.964,0.464,0.261,0.089,178.595,Classical
133,0.381,0.212,-17.582,0.829,0.012,0.147,0.442,119.702,Classical
134,0.288,0.0843,-25.855,0.946,8.67e-06,0.103,0.0516,99.394,Classical
135,0.48,0.252,-15.25,0.964,2.11e-05,0.047,0.664,118.158,Classical
136,0.0784,0.101,-23.881,0.537,0.756,0.442,0.0368,173.937,Classical
137,0.249,0.088,-20.827,0.907,0.0,0.0912,0.0389,82.083,Classical
138,0.491,0.32,-18.408,0.94,0.928,0.294,0.698,118.179,Classical
139,0.442,0.181,-20.419,0.906,0.656,0.0598,0.172,115.884,Classical
140,0.236,0.0313,-29.697,0.978,0.215,0.0567,0.0738,115.18,Classical
141,0.322,0.0202,-25.93,0.958,0.0316,0.134,0.0753,89.7,Classical
142,0.372,0.378,-12.41,0.896,0.932,0.0562,0.35,121.975,Classical
143,0.266,0.119,-26.396,0.942,0.516,0.0604,0.242,105.388,Classical
144,0.441,0.225,-15.557,0.954,0.000203,0.111,0.359,139.984,Classical
145,0.615,0.277,-15.298,0.741,3.02e-06,0.0722,0.881,114.258,Classical
146,0.678,0.133,-17.729,0.946,0.121,0.16,0.911,85.798,Classical
147,0.435,0.475,-13.228,0.963,0.889,0.0761,0.067,103.751,Classical
148,0.45,0.185,-18.629,0.816,0.481,0.0793,0.287,82.647,Classical
149,0.391,0.219,-16.974,0.963,0.269,0.122,0.19,141.392,Classical
150,0.196,0.00292,-32.297,0.977,0.182,0.0606,0.0645,81.154,Classical
151,0.601,0.293,-15.337,0.847,0.596,0.0956,0.936,135.078,Classical
152,0.106,0.00814,-32.071,0.967,0.878,0.0539,0.0294,78.349,Classical
153,0.624,0.391,-18.415,0.711,0.000494,0.217,0.945,110.699,Classical
154,0.317,0.0371,-23.772,0.754,0.0,0.108,0.275,112.042,Classical
155,0.146,0.0154,-30.523,0.966,0.0572,0.344,0.152,75.297,Classical
156,0.107,0.0507,-27.726,0.127,0.646,0.0962,0.0336,91.478,Classical
157,0.689,0.042,-20.964,0.98,0.0633,0.298,0.765,95.912,Classical
158,0.553,0.31,-14.553,0.983,0.214,0.117,0.243,126.493,Classical
159,0.198,0.014,-28.786,0.988,0.281,0.11,0.134,151.575,Classical
160,0.195,0.0562,-21.434,0.936,0.595,0.29,0.0391,100.849,Classical
161,0.232,0.119,-17.026,0.898,0.0207,0.305,0.316,78.762,Classical
162,0.425,0.185,-17.394,0.985,0.242,0.181,0.613,159.861,Classical
163,0.152,0.153,-19.234,0.946,0.831,0.128,0.0366,104.67,Classical
164,0.411,0.0858,-19.42,0.883,0.0,0.233,0.162,71.099,Classical
165,0.678,0.36,-15.211,0.835,0.928,0.188,0.697,118.217,Classical
166,0.458,0.057,-21.953,0.986,0.0,0.098,0.14,108.129,Classical
167,0.214,0.135,-20.162,0.975,0.00156,0.194,0.12,93.643,Classical
168,0.432,0.212,-23.966,0.996,0.925,0.107,0.294,125.339,Classical
169,0.38,0.157,-15.583,0.972,4.47e-06,0.102,0.211,111.875,Classical
170,0.328,0.221,-21.468,0.955,0.855,0.103,0.608,99.199,Classical
171,0.192,0.0395,-25.63,0.979,5.18e-05,0.0899,0.0386,86.619,Classical
172,0.196,0.252,-17.561,0.984,0.0921,0.0695,0.107,85.037,Classical
173,0.531,0.00724,-33.067,0.993,0.929,0.103,0.2,111.692,Classical
174,0.631,0.951,-6.203,0.108,0.836,0.173,0.703,124.007,EDM
175,0.621,0.551,-7.89,0.486,0.0,0.115,0.222,105.052,EDM
176,0.719,0.705,-5.057,0.0175,0.0,0.348,0.599,100.03,EDM
177,0.642,0.525,-7.715,0.0261,0.0,0.0985,0.252,96.09,EDM
178,0.637,0.813,-5.199,0.0289,0.0,0.0906,0.429,122.963,EDM
179,0.689,0.505,-6.389,0.158,0.0,0.138,0.312,99.017,EDM
180,0.605,0.853,-4.161,0.0138,0.0,0.225,0.424,122.901,EDM
181,0.827,0.681,-4.905,0.0341,7.12e-05,0.418,0.603,113.966,EDM
182,0.728,0.794,-3.992,0.148,0.0,0.0688,0.523,112.071,EDM
183,0.698,0.859,-5.234,0.114,0.208,0.228,0.518,126.039,EDM
184,0.505,0.572,-5.561,0.179,0.0,0.225,0.273,126.005,EDM
185,0.795,0.749,-8.058,0.0371,0.00195,0.0575,0.72,123.052,EDM
186,0.569,0.789,-4.607,0.564,0.0,0.294,0.603,160.014,EDM
187,0.511,0.774,-5.84,0.602,0.000971,0.194,0.665,114.891,EDM
188,0.71,0.728,-6.74,0.0215,2.75e-06,0.506,0.254,105.006,EDM
189,0.661,0.731,-6.445,0.0403,0.0,0.236,0.68,123.913,EDM
190,0.676,0.918,-5.723,0.000447,0.00396,0.133,0.337,124.004,EDM
191,0.794,0.728,-6.759,0.121,8.82e-06,0.227,0.36,105.024,EDM
192,0.685,0.951,-4.889,0.0184,0.0531,0.065,0.582,124.978,EDM
193,0.75,0.731,-6.289,0.0493,2.55e-06,0.0718,0.391,123.012,EDM
194,0.517,0.916,-5.253,0.155,0.00012,0.603,0.343,125.197,EDM
195,0.673,0.737,-5.709,0.0198,6.62e-06,0.0869,0.498,119.984,EDM
196,0.579,0.578,-5.361,0.0304,0.000229,0.1,0.356,78.582,EDM
197,0.504,0.729,-5.624,0.0808,0.0,0.0948,0.535,109.71,EDM
198,0.748,0.767,-5.335,0.141,5.06e-06,0.0999,0.821,112.025,EDM
199,0.763,0.608,-8.1,0.262,2.5e-05,0.12,0.393,121.02,EDM
200,0.754,0.697,-4.387,0.0759,0.0551,0.0955,0.753,123.997,EDM
201,0.743,0.898,-4.8,0.109,0.000235,0.16,0.723,112.035,EDM
202,0.67,0.895,-3.549,0.144,0.0,0.341,0.386,121.913,EDM
203,0.6,0.788,-4.482,0.247,0.0,0.105,0.301,94.038,EDM
204,0.535,0.906,-4.699,0.0202,0.000715,0.0886,0.732,126.012,EDM
205,0.639,0.933,-3.059,0.0714,0.0,0.497,0.452,124.951,EDM
206,0.596,0.576,-7.636,0.31,0.0,0.112,0.159,107.963,EDM
207,0.553,0.789,-8.845,0.000345,0.0167,0.044,0.177,125.011,EDM
208,0.68,0.913,-2.343,0.00565,0.0,0.288,0.669,121.961,EDM
209,0.699,0.511,-7.312,0.462,0.000121,0.11,0.331,157.987,EDM
210,0.646,0.761,-2.557,0.0714,0.0,0.222,0.472,129.916,EDM
211,0.663,0.846,-4.015,0.192,0.0,0.173,0.59,123.995,EDM
212,0.702,0.844,-4.739,0.129,4.31e-05,0.139,0.788,126.036,EDM
213,0.623,0.743,-4.704,0.00768,0.0,0.754,0.637,145.056,EDM
214,0.738,0.868,-4.373,0.0389,0.00171,0.388,0.336,122.003,EDM
215,0.704,0.902,-4.003,0.0862,0.000845,0.168,0.402,124.007,EDM
216,0.673,0.596,-7.891,0.166,0.0,0.11,0.19,123.969,EDM
217,0.494,0.81,-4.37,0.0564,0.0,0.104,0.426,104.913,EDM
218,0.641,0.529,-11.536,0.00441,0.000862,0.0809,0.449,121.027,EDM
219,0.752,0.78,-5.669,0.00337,0.000539,0.747,0.307,123.023,EDM
220,0.704,0.634,-7.374,0.393,3.17e-05,0.0952,0.411,113.927,EDM
221,0.636,0.77,-5.671,0.469,0.0,0.268,0.443,118.038,EDM
222,0.639,0.865,-5.01,0.00462,1.26e-06,0.208,0.611,124.01,EDM
223,0.659,0.708,-5.474,0.513,0.0,0.173,0.428,96.985,EDM
224,0.612,0.686,-6.838,0.173,0.0,0.141,0.326,122.115,EDM
225,0.55,0.689,-7.76,0.0498,0.0,0.207,0.408,99.904,EDM
226,0.575,0.601,-8.986,0.0206,0.0224,0.0708,0.204,122.012,EDM
227,0.755,0.783,-6.256,0.605,0.00663,0.203,0.419,104.022,EDM
