,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
39,spotify:track:4faUCG0CdNgMx0NkMMseOl,Dillagi,0.385,0.0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
40,spotify:track:7cWnks0lsRtpAi87COOiXK,O Re Piya,0.779,0.000565,0.532,0.0328,0.124,-8.837,0.586,99.994,0.494
41,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
42,spotify:track:74AqVxZ3oXwJ8olHssBUG3,Ainvayi Ainvayi,0.0339,0.0046,0.742,0.0413,0.0928,-7.571,0.689,155.986,0.876
43,spotify:track:5DyYcwMw0f6z3FefXNLOHv,Ishq Hua,0.657,0.00552,0.745,0.108,0.117,-7.914,0.405,87.452,0.751
44,spotify:track:7CDP4uXu6mkBDzaTOx9yTS,Aadat Se Majboor,0.359,3.01e-05,0.629,0.0788,0.101,-7.812,0.836,115.048,0.801
45,spotify:track:2Bn2JQAGZzxe09jFzm1SqJ,Aaja Nachle,0.417,6.32e-05,0.878,0.177,0.332,-6.879,0.771,120.003,0.84
46,spotify:track:1opxtm6zIv7IF19S0eCtvV,Thug Le,0.0992,2.94e-05,0.788,0.0687,0.103,-5.514,0.768,112.988,0.931
47,spotify:track:6D3vmtskO4RbZP3bBIDY3X,Chak De India,0.54,1.55e-05,0.894,0.0993,0.141,-8.544,0.755,104.985,0.799
48,spotify:track:2aHz87L2Z4a0ZEQ7vMlH8z,Badal Pe Paon Hai,0.0717,0.00232,0.788,0.0373,0.0936,-9.607,0.649,104.999,0.869
49,spotify:track:4faUCG0CdNgMx0NkMMseOl,Dillagi,0.385,0.0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
50,spotify:track:251PNRmJU9KcUnFQAB5t6I,Kal Ho Naa Ho,0.334,0.000144,0.529,0.0352,0.078,-8.402,0.532,81.989,0.295
51,spotify:track:3WVHfTd7xz9VPYJQFpOp8j,Main Agar Kahoon,0.234,3.17e-06,0.436,0.0276,0.46,-7.521,0.533,146.868,0.371
52,spotify:track:73y649QhnXdcm6fRdvfraO,Abhi Mujh Mein Kahin,0.755,3.94e-05,0.387,0.0332,0.113,-9.483,0.334,129.959,0.42
53,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,Bole Chudiyan,0.45,1.18e-05,0.875,0.171,0.164,-5.294,0.59,96.915,0.736
54,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
55,spotify:track:6oUK2k9OJ0WvmVveyauFB7,Mere Haath Mein,0.578,0.000183,0.606,0.0722,0.11,-12.312,0.554,93.922,0.584
56,spotify:track:1ax8ZuwRVkSdzzsIqyCNWQ,Tumse Milke Dil Ka,0.0642,1.87e-06,0.745,0.109,0.0274,-8.636,0.853,107.985,0.882
57,spotify:track:7Czm0vv2sYL5z4P51KY66e,Maahi Ve,0.0297,2e-05,0.833,0.0769,0.33,-6.117,0.815,99.989,0.563
