Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,3xZiaLaqTq5jIjEyISHbcl,12 Notations pour piano: XI Scintillant,0.992,0.615,0.00145,0.0425,0.116,-41.335,0.363,63.477,0.448
Anton Webern,Classical,spotify:artist:6cg7ooZDeSSLYVTWGpASjX,,7eUU5D3LhS96Eb20HGWqvC,"Drei Lieder aus ""Viae inviae"", Op. 23: II. Es stürzt aus Höhen Frische",0.991,2.49E-06,0.0595,0.0631,0.134,-18.328,0.406,102.66,0.0694
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,7LUCWYJHObUqN5z2HzCF8J,"Violin Concerto No. 4 in E Major, RV 263a: II. Largo",0.891,0.000344,0.0156,0.0424,0.111,-26.387,0.243,94.207,0.204
Wolfgang Amadeus Mozart,Classical,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,,7DwjgHsqW6k5HOMa6hsOA7,"Mozart: Cosi fan tutte, K. 588, Act 1: ""Soave sia il vento"" (Fiordiligi, Dorabella, Don Alfonso)",0.992,0.00801,0.0823,0.0415,0.0957,-23.037,0.181,79.417,0.0385
Johann Strauss II,Classical,spotify:artist:5goS0v24Fc1ydjCKQRwtjM,,325nqcCIC99ZvhennNFaeC,Treasure Waltz,0.894,0.797,0.0685,0.0388,0.0793,-23.028,0.216,182.042,0.283
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,00VwCJpNu1OCq7jUGx4s1t,"Violin Concerto No. 10 in G Major, RV 300: II. Largo cantibile",0.835,0.00056,0.0364,0.0455,0.37,-32.875,0.26,60.54,0.115
Henry Purcell,Classical,spotify:artist:3tMLo1k3iUo82coMLWXzxq,,5CzQn49eaXfuu0b6aRV62C,"Ground, Z. T681",0.88,0.000504,0.131,0.036,0.0943,-26.011,0.238,99.397,0.129
Riccardo Muti,Classical,spotify:artist:7silW8RiEOoLBgAg5JBCL1,,0aQiqmn0V5CZqQM7fFToha,"Verdi: Aida, Act 1: ""Celeste Aida"" (Radamès)",0.986,0.0028,0.191,0.0424,0.284,-18.964,0.231,78.513,0.059
Henry Purcell,Classical,spotify:artist:3tMLo1k3iUo82coMLWXzxq,,7Fcky2N4CV8J55QNKplM1m,"Suite No. 4 in A Minor, Z. 663: I. Prelude",0.829,0.194,0.162,0.052,0.0742,-27.095,0.269,89.844,0.123
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,6IB4nD7kttQsXGLO3KyWAf,"Symphony, Op. 21: II. Variationen",0.983,0.0427,0.0154,0.0465,0.0597,-26.482,0.334,95.06,0.0547
Daniel Barenboim,Classical,spotify:artist:78sEozQOEJxzXegUuqRSgH,,2GPr1onZAX1oQR78GOplBe,"Schoenberg: 5 Orchestral Pieces, Op. 16: No. 2 Vergangenes (Things past)",0.943,0.518,0.0139,0.0324,0.0819,-34.734,0.164,80.531,0.035
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,4Yucnyl0O67e4FpPctJZ7X,"Kantate No. 1, Op. 29: III. Tönen die seligen Saiten Apolls",0.98,0.000115,0.034,0.0508,0.081,-27.409,0.135,71.163,0.0341
Wolfgang Amadeus Mozart,Classical,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,,1NIuI42yJLnFajL14W1O0D,"Sonata No. 16 in C Major for Piano, K. 545, ""Sonata facile"": I. Allegro",0.983,0.881,0.204,0.0441,0.118,-18.486,0.288,123.781,0.687
Gabriel Fauré,Classical,spotify:artist:2gClsBep1tt1rv1CN210SO,,3FePBRzI8u8me50mzO4SHN,"Fauré: Elégie, Op.24",0.986,0.944,0.0593,0.0392,0.106,-21.989,0.179,127.852,0.0391
Johann Sebastian Bach,Classical,spotify:artist:5aIqB5nVVvmFsvSdExz408,,2Ul1w03IYHv9Bhu3uGcErm,"Matthäus Passion, BWV 244: Chori, ""Sein Blut komme über uns und unsere Kinder""",0.952,0.61,0.343,0.0326,0.673,-15.482,0.51,119.094,0.897
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,1a1SId6sCbNaaNgeqpa6lR,"4 Lieder für Sopran und Kammerorchester, Op.13: III. In der Fremde",0.988,1.58E-06,0.0265,0.0437,0.11,-24.834,0.343,104.063,0.103
Jordi Savall,Classical,spotify:artist:3faEZMpTmZFXpELU1EwWNL,,4YzwIQT4cMvFLWE4gu1Tfe,"Concerto V, en Ré Majeur, BWV 1050 - III. Allegro",0.849,0.0181,0.286,0.0402,0.109,-18.794,0.387,125.151,0.764
Leonard Bernstein,Classical,spotify:artist:2LmyJyCF5V1eQyvHgJNbTn,,7oB0QBEnGRIJjvlDc8YnM6,Rhapsody in Blue,0.969,0.781,0.184,0.0409,0.132,-18.342,0.305,70.813,0.0771
Anton Webern,Classical,spotify:artist:6cg7ooZDeSSLYVTWGpASjX,,4tBfSSMBbEzpBDiOUkrvqo,"Kantate No. 1, Op. 29: I. Zündender Lichtblitz",0.963,0.000242,0.00539,0.0435,0.0817,-26.777,0.307,118.63,0.0375
Yo-Yo Ma,Classical,spotify:artist:5Dl3HXZjG6ZOWT5cV375lk,,2uRK1UFeSSKVCfqCJdFoeZ,1 x 0 (um a zero),0.828,0.451,0.297,0.0445,0.268,-16.953,0.633,106.355,0.93
Franz Schubert,Classical,spotify:artist:2p0UyoPfYfI76PCStuXfOP,,4UZeqSrVi2vJ0vDV605b1t,"Deutsche Tänze, D. 820: II. [without tempo indication] (I. Da capo)",0.973,0.154,0.00727,0.0517,0.217,-27.104,0.215,85.397,0.0877
Riccardo Muti,Classical,spotify:artist:7silW8RiEOoLBgAg5JBCL1,,2RBjAe3HSStEAovN7nRFWl,"Verdi: Aïda, Act 4 Scene 2: ""O terra, addio, valle di pianti"" (Aida, Radames, Amneris, Chorus)",0.989,1.50E-05,0.071,0.0459,0.168,-22.185,0.179,80.002,0.0464
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,6H8kRwXYJhmz6y1AkbCwvD,"Water Music, Suite No. 1, HWV 348: Water Music, Suite No. 1, HWV 348: II. Adagio e staccato",0.958,0.931,0.0237,0.0404,0.1,-25.203,0.225,34.875,0.111
Arnold Schoenberg,Classical,spotify:artist:5U827e4jbYz6EjtN0fIDt9,,6s2jepvDx4QG15AmhQjUD4,"String Quartet No. 4, Op. 37: II. Comodo",0.978,0.298,0.13,0.0557,0.403,-21.201,0.399,92.104,0.182
Pyotr Ilyich Tchaikovsky,Classical,spotify:artist:3MKCzCnpzw3TjUYs2v7vDA,,0goD0UiaTKQlPLO3Lwg5NA,"Swan Lake, Act II, Scene 13: Dance of the Swans: Allegro moderato",0.948,0.975,0.255,0.031,0.196,-16.664,0.596,107.76,0.624
Luigi Boccherini,Classical,spotify:artist:2l4vGfFV7e46yO8lxfxR76,,29Hk55eRGg3pWHnibPZvrq,"6 String Quartets, Op. 26, Quartetto in F Major, G. 199: II. Minuetto allegro - Trio",0.961,0.0587,0.107,0.0363,0.316,-14.411,0.379,111.471,0.254
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,3CIobV7OH4gK6rc48g4RXC,"Dixit Dominus, HWV 232: Chorus ""Dixit Dominus Domino meo""",0.933,0.334,0.276,0.0277,0.111,-15.012,0.388,97.34,0.427
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,0lxUVXi1NIoSZ1azoShq0C,"Suite in D Major, HWV 349 - ""Water Music"": Suite in D Major, HWV 349 - ""Water Music"": Bourrée",0.946,0.937,0.254,0.0364,0.0856,-18.785,0.6,118.173,0.771
Anton Webern,Classical,spotify:artist:6cg7ooZDeSSLYVTWGpASjX,,5wD5PnSwoC12glDcrFzG4c,"Concerto, Op. 24: III. Sehr rasch",0.983,0.56,0.0598,0.0805,0.0741,-20.1,0.684,100.878,0.409
Igor Stravinsky,Classical,spotify:artist:7ie36YytMoKtPiL7tUvmoE,,53DEFM8rijYU0OlheAsEfh,Canticum sacrum ad honorem Sancti Marci nominis: Dedicatio,0.985,0.0831,0.228,0.0358,0.125,-20.857,0.254,79.974,0.116
Gustav Mahler,Classical,spotify:artist:2ANtgfhQkKpsW6EYSDqldz,,1Bj0Bl4Qc54hDO8X2QbQpQ,Das Lied von der Erde: V. Der Trunkene im Frühling,0.948,0.18,0.234,0.0392,0.079,-14.89,0.291,101.031,0.195
Johann Sebastian Bach,Classical,spotify:artist:5aIqB5nVVvmFsvSdExz408,,58KAbnBDzBsznkkNdlBe3m,"6 Cello Suite, No. 2 in D Minor, BWV 1008: IV. Sarabande",0.947,0.88,0.0771,0.0432,0.0919,-19.525,0.157,90.697,0.0927
Samuel Barber,Classical,spotify:artist:4XDJurjQCnWLlE7KLZCT9x,,4llvj4uXxOY9Rd1oyOf01v,"Barber: Agnus Dei (After ""Adagio for Strings, Op. 11a"")",0.988,0.943,0.128,0.0432,0.129,-21.366,0.0938,71.054,0.0343
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,5vZAH24NyOEnW5KgFt7K2q,"Violin Sonata in D Major, HWV 371, Op. 1 No. 13: II. Allegro",0.874,9.76E-05,0.485,0.0328,0.0572,-12.712,0.59,122.037,0.897
Domenico Scarlatti,Classical,spotify:artist:0mFblCBw0GcoY7zY1P8tzE,,0M2Go5CKa7nxLgIP9fj8a6,Sinfonia in C major: I. Presto,0.738,0.936,0.169,0.0321,0.224,-14.462,0.482,136.005,0.581
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,5cdAghvTIuZlIcEBBfK0uk,"Recorder Concerto in C Major, TWV 51:C1: III. Andante",0.923,0.00231,0.113,0.0424,0.0956,-17.933,0.191,168.232,0.256
Yo-Yo Ma,Classical,spotify:artist:5Dl3HXZjG6ZOWT5cV375lk,,393qU26zNVIQNzdBxWQPek,"Giuseppe Tornatore Suite: Playing Love from ""The Legend of 1900""",0.985,0.88,0.144,0.0381,0.113,-17.159,0.163,80.402,0.0722
Frédéric Chopin,Classical,spotify:artist:7y97mc3bZRFXzT2szRM4L4,,0bcGY7mfG10QfeaDbz97hC,"Nocturne, Op. posth. in C-Sharp Minor: Lento",0.992,0.9,0.00397,0.0475,0.0763,-31.601,0.272,72.059,0.19
London Symphony Orchestra,Classical,spotify:artist:5yxyJsFanEAuwSM5kOuZKc,,6iPwcS9emOWLHRw6ARfAVo,"Kantate No. 2, Op. 31: II. Sehr tief verhalten",0.97,2.37E-06,0.0234,0.0521,0.236,-27.125,0.207,171.33,0.0499
Igor Stravinsky,Classical,spotify:artist:7ie36YytMoKtPiL7tUvmoE,,0CDOLfWPwWAw2K3b2rhYCc,Requiem Canticles: Libera me,0.993,0.79,0.401,0.131,0.325,-25.865,0.141,62.722,0.0346
Arnold Schoenberg,Classical,spotify:artist:5U827e4jbYz6EjtN0fIDt9,,1W2iLSLdZ3EzGMCy1kDPM8,"Klavierstücke, Op. 33a: No. 1, Mäßig",0.992,0.847,0.0443,0.0423,0.0729,-23.122,0.426,135.581,0.0824
Wiener Philharmoniker,Classical,spotify:artist:003f4bk13c6Q3gAUXv7dGJ,,12NlTZvpqauarHumTnHAz0,Das Lied von der Erde: IV. Von der Schönheit,0.972,0.361,0.126,0.0465,0.399,-19.3,0.276,107.075,0.198
Johann Sebastian Bach,Classical,spotify:artist:5aIqB5nVVvmFsvSdExz408,,6S0Fm8yCK5DAtwejEIMJif,"Toccata and Fugue in D Minor, BWV 565",0.704,0.837,0.138,0.0376,0.555,-19.783,0.0824,71.814,0.175
Jordi Savall,Classical,spotify:artist:3faEZMpTmZFXpELU1EwWNL,,4GMOiThC7tfhhpuXAci3Hp,"Concerto I, en Fa Majeur, BWV 1046 - III. Allegro",0.885,0.87,0.286,0.0338,0.125,-19.047,0.361,93.295,0.759
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,3xGcyNzI4qUMOOaPSv8N99,"Aci, Galatea e Polifemo : Benchè tuoni e l'etra avvampi",0.952,0.00862,0.283,0.0487,0.728,-21.412,0.569,118.1,0.813
Yo-Yo Ma,Classical,spotify:artist:5Dl3HXZjG6ZOWT5cV375lk,,2NndOGI6s9gbjXZeGnRt5M,"Moses and Marco Polo Suite: Journey from ""Moses""",0.98,0.931,0.0548,0.0387,0.106,-18.865,0.102,88.3,0.0397
London Symphony Orchestra,Classical,spotify:artist:5yxyJsFanEAuwSM5kOuZKc,,3Q6Br1IAaJx5uNn6ZdVJIH,"6 Pieces for Large Orchestra, Op. 6: III. Zart bewegt",0.933,0.00287,0.00369,0.0452,0.117,-36.852,0.287,131.064,0.0577
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,79MPYoIcZ69n5iDth9pUXY,"Concerto per Sua Maestà Cattolica Cesarea for Violin, Strings & Continuo in C Major, RV 171: III. Allegro non molto",0.892,0.0231,0.192,0.042,0.0831,-17.982,0.498,74.336,0.439
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,2RsFuXbK8mx5lHUTbRa9Wk,"Overture (Suite) in B-Flat Major, TWV 55:B2: Aria VI: Allegro",0.796,0.947,0.228,0.0533,0.202,-17.274,0.512,133.207,0.952
Boston Symphony Orchestra,Classical,spotify:artist:0K23lQ2hSQAlxSEeZ05bjI,,208iY7TaJM0VMZ82kSHann,When Lilacs Last in the Dooryard Bloom'd: Part Three,0.958,0.00344,0.0574,0.0518,0.1,-27.016,0.16,75.734,0.038
Arnold Schoenberg,Classical,spotify:artist:5U827e4jbYz6EjtN0fIDt9,,7kDwPU2XHz9qV9b9xbM3GQ,"Gurre-Lieder, Pt. 3: Deckel des Sarges klappert",0.861,1.04E-05,0.128,0.0621,0.467,-24.776,0.324,77.772,0.12
Luigi Boccherini,Classical,spotify:artist:2l4vGfFV7e46yO8lxfxR76,,0pef2LP1yMKVa2jwDwOEUp,"6 String Quartets, Op. 26, Quartetto in A Major, G. 198: II. Minuetto con moto - Trio",0.926,0.587,0.118,0.0479,0.318,-15.762,0.239,84.083,0.189
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,7fL2Ft1GZ9iruLLrG9Wc43,"Quartet in E Minor, TWV 43:E2: II. Allegro",0.966,0.171,0.146,0.04,0.196,-14.397,0.68,108.273,0.613
György Ligeti,Classical,spotify:artist:1zb5zmIuX2lTbzcn7YeQlg,,4WpkwjIvLMMvBi8XA5echL,Lux aeterna,0.992,0.974,0.0177,0.0415,0.069,-32.176,0.0638,54.209,0.0219
Johann Sebastian Bach,Classical,spotify:artist:5aIqB5nVVvmFsvSdExz408,,7tPmllJFQ4I8Y58IZi4Kqw,"Matthäus Passion, BWV 244: Recitativo, ""Auf das Fest aber""",0.935,0,0.0851,0.154,0.0987,-19.875,0.549,173.336,0.486
Marin Marais,Classical,spotify:artist:3iPWeMA0avSRKrPKcLaTDE,,6sCXiGYLpN0ciGH9rKJDT4,Suite in G Minor: Menuet I - II,0.849,0.0077,0.196,0.0479,0.0889,-15.479,0.205,46.15,0.235
Jean-Philippe Rameau,Classical,spotify:artist:4JSWO1Pf2zV991fq64uAce,,4uV6ezCwQXqTaq1Rbdl634,Hippolyte et Aricie : Bruit de tonnerre,0.137,0.9,0.343,0.042,0.107,-20.859,0.176,164.838,0.286
Glenn Gould,Classical,spotify:artist:13dkPjqmbcchm8cXjEJQeP,,6uTCvFRE00RsW3AUf39Evn,"Sonata in G Major, K 13 (L 486)",0.992,0.874,0.268,0.0442,0.184,-19.76,0.439,101.226,0.961
Claudio Monteverdi,Classical,spotify:artist:5iAhVgz6P8Nylxijb0C65v,,0zPJuvDpLm0MEOAz4jUYfk,"Lauda Jerusalem a 3, SV 202",0.859,0.0047,0.102,0.0396,0.147,-21.334,0.261,132.787,0.0565
Franz Schubert,Classical,spotify:artist:2p0UyoPfYfI76PCStuXfOP,,3mEW6o5OfuOqnTNJDlSuhK,"Winterreise, D911: Einsamkeit",0.981,0.000182,0.0493,0.0608,0.0855,-23.768,0.24,76.113,0.0392
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,6KSvnv1wTQQTA3L64yU1Ic,"Water Music, Suite No. 1, HWV 348: Water Music, Suite No. 1, HWV 348: VI. Air",0.96,0.932,0.0309,0.0432,0.149,-26.716,0.146,140.806,0.239
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,7aMavtfcs7tC6EL3FBAu8M,"Cello Sonata in F Major, Op. 14, No. 2, RV 41 (arr. L. Dallapiccola for cello and piano): IV. Allegro",0.984,0.899,0.314,0.0335,0.0971,-14.714,0.486,100.232,0.804
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,02jzlvoTTiS51U18ctk0Ke,"Vivaldi - Concerto in E Minor ""Il favorito"" RV 277: III Allegro",0.826,0.0501,0.147,0.0402,0.0641,-17.347,0.398,142.733,0.53
Wolfgang Amadeus Mozart,Classical,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,,2Ifq2r95pujjRGGwMJaNE7,"Don Giovanni, K.527, Act I, Scena quarta: Protegga il giusto cielo (Donna Anna/Don Ottavio/Donna Elvira)",0.993,3.36E-05,0.109,0.0448,0.112,-22.374,0.202,73.931,0.0578
Igor Stravinsky,Classical,spotify:artist:7ie36YytMoKtPiL7tUvmoE,,7LJkI1Y0VtlkO6UlO1XEwH,"Canticum sacrum ad honorem Sancti Marci nominis: Surge, aquilo",0.953,0.0152,0.127,0.0601,0.146,-23.709,0.241,89.598,0.104
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,2DKRXEw3qNeOg1gCQSTx6R,"Cello Sonata in B-Flat Major, Op. 14, No. 4, RV 45 (arr. L. Dallapiccola for cello and piano): II. Allegro",0.983,0.938,0.24,0.0425,0.167,-15.003,0.516,116.481,0.833
Valery Gergiev,Classical,spotify:artist:2LxnoYPOe0FCLC82R3xgO2,,6bAuJD3mImwgkAAdkdHfYZ,Rococo Variations: Variation V,0.93,0.686,0.0281,0.0555,0.0756,-30.582,0.26,72.589,0.052
Pyotr Ilyich Tchaikovsky,Classical,spotify:artist:3MKCzCnpzw3TjUYs2v7vDA,,3ZQPD717nRDSMdJXpZDjJ6,Rococo Variations: Variation VI,0.936,0.129,0.0152,0.0459,0.0744,-34.001,0.12,76.401,0.0536
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,0S7ID6eNbxXT6bV69o8LIZ,"Overture (Suite) in E Minor, TWV 55:e6: Aria V: Presto",0.982,0.939,0.232,0.051,0.18,-18.587,0.739,131.398,0.714
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,3e8MsEICBySTAQ3sAKerJu,Concerto for 3 violins in F major / Fa majeur / F-dur: I. Allegro,0.869,2.29E-06,0.23,0.04,0.354,-16.556,0.439,107.227,0.651
Gabriel Fauré,Classical,spotify:artist:2gClsBep1tt1rv1CN210SO,,0M12wycdybSf2W3RA452wZ,"Cello Sonata No. 1 in D Minor, Op. 109: II. Andante",0.992,0.868,0.0266,0.0428,0.062,-25.947,0.19,122.353,0.0574
Tomaso Albinoni,Classical,spotify:artist:17OArJzEhRR3OmhtGcnfBq,,7sRTBl7DIFQGP98Lv4hvVo,"Oboe Concerto in D Major, Op. 7 No. 6: Allegro",0.823,0.624,0.323,0.0615,0.112,-17.245,0.753,98.794,0.948
Daniel Barenboim,Classical,spotify:artist:78sEozQOEJxzXegUuqRSgH,,4JXTBbJcgn2noT9iMhP443,"Piano Trio in G, K.564: III. Allegretto",0.98,0.133,0.123,0.0411,0.0988,-17.697,0.483,115.84,0.392
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,0CXVCVaqLcoB4AxmkautCW,"Violin Sonata in D Minor, Op. 2, No. 3, RV 14: IV. Giga (Allegro)",0.788,0.425,0.289,0.0422,0.0708,-16.873,0.322,75.926,0.408
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,7JmSmO6FZ9GHCdlvVJlKbJ,"Overture (Suite) in C Minor, TWV 55:c3: Aria I: Presto",0.822,0.199,0.307,0.0394,0.332,-14.184,0.631,115.878,0.967
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,0jhSDCIp82DCRyajh7o1wd,"Trio Sonata in A Major, Op. 1, No. 9, RV 75: III. Allemanda (Allegro)",0.787,0.00141,0.145,0.0379,0.067,-19.029,0.449,113.808,0.462
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,2KktBuD7fD4J0yWAy9Cxi4,"Handel: Dixit Dominus, HWV 232: ""De torrente via bibet""",0.974,1.48E-06,0.0697,0.0508,0.675,-24.181,0.237,133.714,0.0366
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,7wsBd4ijddCETfZCko3SE4,Part I. Overture in E minor: I. Ouverture: Lentement - Vite - Lentement,0.927,0.000135,0.177,0.038,0.213,-18.365,0.344,110.866,0.276
Wolfgang Amadeus Mozart,Classical,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,,2YarjDYjBJuH63dUIh9OWv,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",0.982,0.961,0.0324,0.0382,0.0916,-28.215,0.194,144.13,0.0596
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,7z0Rm75sPModIEehYwbxzz,"Trio Sonata in B-Flat Major, Op. 1, No. 10, RV 78: I. Preludio (Adagio)",0.513,0.0914,0.119,0.0404,0.092,-20.305,0.116,82.689,0.0925
Carl Maria von Weber,Classical,spotify:artist:1p6wR69pnH9LBWZvwliuz2,,3ImDxkW7yhzVugccGSigiS,Klarinettenkonzert Nr. 1 f-Moll: I. Allegro,0.92,0.398,0.0516,0.0454,0.0938,-21.615,0.334,123.003,0.103
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,0aq3lg0IZL2KWSHrZEslnY,"Concerto for Strings in G Minor, RV 152",0.882,0.00988,0.158,0.0496,0.0968,-19.687,0.346,133.276,0.205
Henry Purcell,Classical,spotify:artist:3tMLo1k3iUo82coMLWXzxq,,687obeC7CZVvqNBCxgYD2F,"Suite No. 4 in A Minor, Z. 663: IV. Saraband",0.911,3.75E-05,0.112,0.0341,0.133,-26.308,0.32,82.324,0.377
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,45RASnlGdt0HcOMTbS5Tku,Concerto for two horns and strings in E flat major / Mi bémol majeur / Es-dur: II. Allegro,0.986,0.0626,0.217,0.0427,0.167,-15.149,0.549,115.005,0.483
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,5ps6jrOEFBKQSd46SNEbh8,"Variations for Orchestra, Op. 30",0.946,0.000489,0.00452,0.0414,0.468,-28.601,0.189,168.483,0.0376
Arnold Schoenberg,Classical,spotify:artist:5U827e4jbYz6EjtN0fIDt9,,6dXDVuNBxCXrwaJQqgwA8j,"Gurre-Lieder, Pt. 3: Erwacht, König Waldemars Mannen wert!",0.747,0.938,0.0855,0.0423,0.133,-23.308,0.356,87.445,0.284
Franz Schubert,Classical,spotify:artist:2p0UyoPfYfI76PCStuXfOP,,1YwvzmXre7QDImmQDLDZTT,"Winterreise, D911: Täuschung",0.984,0.000444,0.0102,0.0377,0.0738,-31.256,0.332,106.311,0.158
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,6srU3wlimYXpxBNoCabQGi,"Keyboard Suite in D Minor, HWV 437: III. Sarabande (Arr. for Chamber Orchestra)",0.944,0.568,0.0295,0.0445,0.341,-24.164,0.233,165.685,0.145
Georg Philipp Telemann,Classical,spotify:artist:2fg5h5pzleqI4RjFopWroj,,6E7rdIiJMo8dKyyOTiKEH1,Flute Sonata in B minor / si mineur / h-moll: IV. Allegro,0.955,0.0605,0.0735,0.0396,0.138,-24.66,0.506,69.257,0.73
Franz Joseph Haydn,Classical,spotify:artist:656RXuyw7CE0dtjdPgjJV6,,597zy82JY2xPT8cOJFbiY3,"String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile",0.982,0.674,0.0442,0.0472,0.121,-27.588,0.19,125.148,0.0961
Philip Glass,Classical,spotify:artist:69lxxQvsfAIoQbB20bEPFC,,5pmszzbEDxai0DvLLVNKUM,Symphony No. 3: I. --,0.927,0.497,0.0132,0.0464,0.137,-26.835,0.398,119.957,0.0364
Krzysztof Penderecki,Classical,spotify:artist:0qEO82Hj3SvjoNyEfKpRku,,1y9bCbWLXbfX2wujCTZJd1,String Trio: I. Allegro Molto,0.924,0.144,0.0442,0.0572,0.102,-24.372,0.349,140.314,0.056
Manuel de Falla,Classical,spotify:artist:5BcbyYRgvvhfVGmCJSjHlT,,35s0h0EzkKGCRlhTAnkPZ2,Suite del Amor Brujo: Danza Ritual del Fuego,0.965,0.922,0.115,0.0439,0.107,-18.351,0.413,140.523,0.0989
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,6v3OI7iLP5nNyPdxEBFb3q,"3 Lieder für Sopran, Klarinette und Gitarre, Op.18: I. Schatzerl klein",0.983,0,0.0664,0.0789,0.155,-19.903,0.351,167.393,0.139
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,4dvpyWrqFJ7iV2YusuatTm,"Concerto in A Major, RV. 347: I - Allegro",0.947,0.213,0.265,0.0401,0.0804,-13.104,0.585,111.905,0.759
Richard Wagner,Classical,spotify:artist:1C1x4MVkql8AiABuTw6DgE,,2U8EZnRZd1o2UfUJuNCdfl,"Elegie, WWV 93 (Thema)",0.981,0.976,0.000376,0.377,0.0621,-36.211,0.629,92.254,0
Antonio Vivaldi,Classical,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,,5W6h7YQ83EI6LTI1UcxexJ,"Vivaldi: Concerto for Violin & Oboe in B-Flat Major, RV 548 (Arr. for Trumpet & Violin): III. Allegro",0.945,0.737,0.105,0.0418,0.0702,-20.359,0.592,99.286,0.801
George Frideric Handel,Classical,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,,6q6CkmNy0Sg9VQmi80YLCW,"Oboe Sonata in F Major, HWV 363a, Op. 1 No. 5a: V. Menuetto",0.878,0.00123,0.319,0.0331,0.31,-9.338,0.281,130.814,0.443
Pierre Boulez,Classical,spotify:artist:2prZJWfQMnIgwUKxKcBxH7,,4hNe4uWdNbrczLCh7YWAZE,"Pierrot lunaire, Op. 21: Part II - 9. Gebet an Pierrot",0.973,1.92E-05,0.0475,0.0348,0.0805,-21.763,0.383,78.236,0.258
Anton Webern,Classical,spotify:artist:6cg7ooZDeSSLYVTWGpASjX,,483rXeDEKGZMsYRTmDkbzi,"3 Lieder nach Gedichten von Hildegard Jone, Op. 25: III. Sterne, Ihr silbernen Bienen",0.988,0,0.022,0.0547,0.146,-20.209,0.512,71.725,0.135
Johann Sebastian Bach,Classical,spotify:artist:5aIqB5nVVvmFsvSdExz408,,6nAHeEutweqcv4adSQ0NkN,"Matthäus Passion, BWV 244: Recitativo, ""Nun ist der Herr zur Ruh gebracht""",0.895,0.00124,0.0308,0.0402,0.126,-23.856,0.275,78.413,0.0742
