Singers,Genre
Ja Rule,Hip-Hop
Jack Harlow,Rap
Jack White,Rock
Jack Wins,EDM
JACKBOYS,Rap
Jackson Browne,Rock
Jacquees,Pop
Jadakiss,Hip-Hop
Jagged Edge,Blues
Jagjit Singh,Ghazal
Jaheim,Blues
James Arthur,Pop
James Blunt,Pop
James Hetfield,Metal
James Taylor,Rock
Jamie Foxx,Blues
Janet Jackson,Blues
Janis Joplin,Rock
Jasmine Thompson,Pop
Jason Derulo,Pop
Jason Mraz,Pop
Jax Jones,Pop
Jay Critch,Rap
JAY-Z,Hip-Hop
Jazmine Sullivan,Blues
Jean Sibelius,Classical
Jean-Philippe Rameau,Classical
Jeezy,Hip-Hop
Jefferson Airplane,Rock
Jennifer Lopez,Pop
Jeremih,Blues
Jermaine Dupri,Hip-Hop
Jess Glynne,Pop
Jethro Tull,Rock
Jimi Hendrix,Rock
Joe,Blues
Joe Stone,EDM
Joe Walsh,Rock
Joel Corry,Pop
Johann Sebastian Bach,Classical
Johann Strauss II,Classical
Johannes Brahms,Classical
John Fogerty,Rock
John K,Pop
John Legend,Blues
JoJo,Blues
Jon B.,Blues
Jonas Aden,EDM
Joni Mitchell,Rock
Jordi Savall,Classical
Jordin Sparks,Pop
Jorja Smith,Pop
Joshua Bell,Classical
Journey,Rock
Joyner Lucas,Rap
JP Cooper,Pop
Judas Priest,Rock
Juicy J,Hip-Hop
Jules Massenet,Classical
Justin Timberlake,Pop
K CAMP,Hip-Hop
K.Flay,Rock
Kansas,Rock
Kanye West,Rap
Kaskade,EDM
Katy Perry,Pop
Kehlani,Blues
Keith Sweat,Blues
Kelly Rowland,Blues
Kendrick Lamar,Hip-Hop
Kevin Gates,Rap
Keyshia Cole,Blues
Khalid,Pop
Kid Rock,Rock
Kim Petras,Pop
King Diamond,Metal
Klingande,EDM
Kodak Black,Hip-Hop
Kodaline,Pop
Korn,Rock
Krzysztof Penderecki,Classical
Kygo,EDM
KYLE,Rap
Labrinth,Pop
Laidback Luke,EDM
Lang Lang,Classical
LCD Soundsystem,Rock
Led Zeppelin,Rock
Ledisi,Blues
Lemmy,Metal
Leona Lewis,Pop
Leonard Bernstein,Classical
Lil Baby,Rap
Lil Durk,Hip-Hop
Lil Jon & The East Side Boyz,Rap
Lil Keed,Rap
Lil' Mo,Blues
Lil Skies,Rap
Lil Tecca,Rap
Lil Uzi Vert,Rap
Lil Wayne,Hip-Hop
Lil Yachty,Hip-Hop
Lily Allen,Pop
"Lisa ""Left Eye"" Lopes",Blues
Living Colour,Rock
LL Cool J,Blues
Lloyd,Blues
Local Natives,Rock
London Baroque,Classical
London Philharmonic Orchestra,Classical
London Symphony Orchestra,Classical
Loote,Pop
Lost Frequencies,EDM
Lou Reed,Rock
Loud Luxury,Pop
Louis The Child,Pop
Loverboy,Rock
LSG,Blues
Lucas Estrada,EDM
Ludacris,Hip-Hop
Ludwig van Beethoven,Classical
Luigi Boccherini,Classical
Lykke Li,Pop
Ma Rainey,Blues
Mac Miller,Rap
Machine Head,Rock
MadeinTYO,Hip-Hop
Mahalia,Pop
Majid Jordan,Rap
Mako,EDM
Manuel de Falla,Classical
Mariah Carey,Blues
Marin Marais,Classical
Mario,Blues
Mark Ronson,Pop
Marques Houston,Blues
Martha Argerich,Classical
Martin Garrix,Pop
Martin Jensen,EDM
Mary J. Blige,Blues
Mary Mary,Blues
Mase,Blues
Mastodon,Rock
Matoma,EDM
Maty Noyes,Pop
Maurice Ravel,Classical
Maxwell,Blues
Meek Mill,Hip-Hop
Megan Thee Stallion,Pop
Mehdi Hassan,Ghazal
Metal Church,Rock
Metallica,Rock
Metro Boomin,Hip-Hop
Michael Jackson,Blues
Midnight Oil,Rock
Miguel,Blues
Mike Patton,Metal
Mike Perry,EDM
Mike WiLL Made-It,Hip-Hop
mike.,Rap
Missy Elliott,Blues
MK,EDM
Mohammad Rafi,Qawwali
Molly Hatchet,Rock
Moneybagg Yo,Rap
Monica,Blues
Montrose,Rock
Mott The Hoople,Rock
Mountain,Rock
Ms. Lauryn Hill,Blues
Muddy Waters,Blues
Murray Perahia,Classical
Muse,Rock
Musiq Soulchild,Blues
Mustard,Rap
Nao,Pop
Natasha Bedingfield,Pop
Nazareth,Rock
Neil Young,Rock
Nelly,Hip-Hop
New York Philharmonic,Classical
Next,Blues
Ne-Yo,Blues
Nicki Minaj,Pop
Nipsey Hussle,Hip-Hop
Noah Cyrus,Pop
Noor Jehan,Ghazal
Normani,Blues
NOTD,Pop
Nusrat Fateh Ali Khan,Qawwali
Offset,Hip-Hop
Omarion,Blues
One Direction,Pop
Otto Knows,EDM
OutKast,Hip-Hop
Overkill,Rock
Ozzy Osbourne,Metal
P!nk,Pop
Pankaj Udhas,Ghazal
Pantera,Rock
PARTYNEXTDOOR,Pop
Passenger,Pop
Paul Simon,Rock
Paula DeAnda,Blues
Pearl Jam,Rock
Phil Anselmo,Metal
Philharmonia Orchestra,Classical
Philip Glass,Classical
Pierce Fulton,EDM
Pierre Boulez,Classical
Pink Floyd,Rock
Pink Sweat$,Pop
Pitbull,Pop
Pixies,Rock
PJ Morton,Blues
Placebo,Rock
Playboi Carti,Hip-Hop
Plies,Hip-Hop
PnB Rock,Rap
Polo G,Rap
Pretty Ricky,Blues
Pyotr Ilyich Tchaikovsky,Classical
Quavo,Hip-Hop
Queen Naija,Blues
Quiet Riot,Rock
R3HAB,EDM
Raaban,EDM
Rage Against The Machine,Rock
Rahat Fateh Ali Khan,Qawwali
Raphael Saadiq,Blues
Ray Charles,Blues
Ray J,Blues
RAYE,Pop
Regard,Pop
Remy Ma,Blues
REO Speedwagon,Rock
Riccardo Muti,Classical
Rich The Kid,Hip-Hop
Richard Strauss,Classical
